devanagari,iast,slp1,count,pct,slot1,slot2,slot3,slot4,slot5
अ,a,a,269327,1.8799,116998,72576,42146,25995,11551
अं,aṃ,aM,1115,0.0078,654,122,208,95,36
अः,aḥ,aH,18,0.0001,2,5,0,10,1
आ,ā,A,88212,0.6157,40043,22419,12841,8789,4104
आं,āṃ,AM,44,0.0003,21,0,3,18,2
आः,āḥ,AH,15,0.0001,5,0,3,7,0
इ,i,i,100374,0.7006,45974,23151,15012,11527,4686
इं,iṃ,iM,15,0.0001,1,0,0,14,0
ई,ī,I,4403,0.0307,1569,1113,787,651,283
ईं,īṃ,IM,100,0.0007,82,0,2,3,13
उ,u,u,80759,0.5637,33124,23512,12407,7351,4353
उं,uṃ,uM,2,0.0,0,0,0,2,0
उः,uḥ,uH,4,0.0,1,3,0,0,0
ऊ,ū,U,6436,0.0449,3291,997,1033,679,436
ऊं,ūṃ,UM,1595,0.0111,540,19,114,782,140
ऋ,ṛ,f,11494,0.0802,5847,2942,1637,627,441
ऋं,ṛṃ,fM,2,0.0,0,0,0,0,2
ॠ,ṝ,F,10,0.0001,0,3,3,3,1
ॠं,ṝṃ,FM,2,0.0,0,0,0,0,2
ऌ,ḷ,x,2,0.0,2,0,0,0,0
ए,e,e,92426,0.6451,45587,20418,12753,9259,4393
एं,eṃ,eM,1,0.0,0,0,0,0,1
ऐ,ai,E,2509,0.0175,1477,416,293,209,114
ऐं,aiṃ,EM,54,0.0004,0,0,0,35,19
ऐः,aiḥ,EH,2,0.0,2,0,0,0,0
ओ,o,o,3304,0.0231,2517,270,272,152,92
ओं,oṃ,oM,221,0.0015,47,29,43,18,84
ओः,oḥ,oH,2,0.0,0,2,0,0,0
औ,au,O,1678,0.0117,649,297,341,206,183
औं,auṃ,OM,5,0.0,1,0,0,3,1
क्,k,k,5154,0.036,1504,1164,1183,1063,240
क,ka,ka,158069,1.1033,19510,43443,42844,39880,12353
कं,kaṃ,kaM,19097,0.1333,1945,3745,4301,6861,2242
कः,kaḥ,kaH,10494,0.0732,1260,2364,2513,3583,772
का,kā,kA,95837,0.6689,11295,27599,25663,23463,7782
कां,kāṃ,kAM,2937,0.0205,268,749,715,887,318
काः,kāḥ,kAH,3814,0.0266,557,1248,1054,729,224
कि,ki,ki,10801,0.0754,1181,3405,3141,2325,740
किं,kiṃ,kiM,9361,0.0653,824,3432,2354,2021,726
किः,kiḥ,kiH,310,0.0022,51,202,23,31,3
की,kī,kI,8222,0.0574,621,2628,2207,2030,730
कीं,kīṃ,kIM,241,0.0017,12,67,75,47,40
कीः,kīḥ,kIH,22,0.0002,11,3,7,0,1
कु,ku,ku,40713,0.2842,4322,14498,10223,8478,3183
कुं,kuṃ,kuM,76,0.0005,1,5,31,36,3
कुः,kuḥ,kuH,59,0.0004,8,36,7,7,1
कू,kū,kU,3576,0.025,457,850,1072,804,392
कृ,kṛ,kf,46875,0.3272,7828,15163,11387,9010,3481
कॄ,kṝ,kF,1,0.0,0,1,0,0,0
के,ke,ke,25370,0.1771,4412,7633,6030,5062,2231
केः,keḥ,keH,27,0.0002,1,16,1,9,0
कै,kai,kE,3949,0.0276,395,1186,1164,872,332
कैं,kaiṃ,kEM,5,0.0,0,2,1,2,0
कैः,kaiḥ,kEH,2076,0.0145,53,528,711,579,205
को,ko,ko,16865,0.1177,1306,4688,4790,4601,1468
कोः,koḥ,koH,9,0.0001,2,4,3,0,0
कौ,kau,kO,5356,0.0374,295,2981,991,825,263
क्क,kka,kka,247,0.0017,31,38,106,55,17
क्कं,kkaṃ,kkaM,16,0.0001,9,1,0,6,0
क्कः,kkaḥ,kkaH,3,0.0,0,2,0,1,0
क्का,kkā,kkA,286,0.002,15,46,105,93,27
क्कां,kkāṃ,kkAM,19,0.0001,0,2,5,10,2
क्काः,kkāḥ,kkAH,5,0.0,2,1,1,1,0
क्कि,kki,kki,59,0.0004,16,25,11,6,1
क्की,kkī,kkI,5,0.0,0,1,2,1,1
क्कु,kku,kku,339,0.0024,13,50,90,151,35
क्कू,kkū,kkU,12,0.0001,3,1,6,2,0
क्कृ,kkṛ,kkf,77,0.0005,1,10,27,26,13
क्के,kke,kke,14,0.0001,1,2,6,3,2
क्को,kko,kko,36,0.0003,0,3,10,15,8
क्कौ,kkau,kkO,17,0.0001,4,3,8,0,2
क्क्र,kkra,kkra,8,0.0001,0,1,1,4,2
क्क्रा,kkrā,kkrA,2,0.0,0,0,1,1,0
क्क्रि,kkri,kkri,41,0.0003,1,2,14,24,0
क्क्री,kkrī,kkrI,2,0.0,0,1,0,0,1
क्क्रु,kkru,kkru,1,0.0,0,0,1,0,0
क्क्रू,kkrū,kkrU,4,0.0,0,2,1,1,0
क्क्रो,kkro,kkro,1,0.0,0,0,1,0,0
क्क्ल,kkla,kkla,1,0.0,0,0,1,0,0
क्क्लि,kkli,kkli,2,0.0,0,0,1,0,1
क्क्ले,kkle,kkle,7,0.0,0,0,5,2,0
क्क्वा,kkvā,kkvA,3,0.0,0,1,2,0,0
क्क्ष,kkṣa,kkza,13,0.0001,0,6,6,1,0
क्क्षा,kkṣā,kkzA,1,0.0,0,0,0,1,0
क्क्षि,kkṣi,kkzi,3,0.0,0,0,2,1,0
क्क्षी,kkṣī,kkzI,33,0.0002,0,0,19,13,1
क्क्षु,kkṣu,kkzu,2,0.0,0,0,2,0,0
क्क्षे,kkṣe,kkze,2,0.0,0,0,0,2,0
क्क्षौ,kkṣau,kkzO,1,0.0,0,0,1,0,0
क्ख,kkha,kKa,6,0.0,0,0,4,2,0
क्खौ,kkhau,kKO,1,0.0,0,1,0,0,0
क्ख्या,kkhyā,kKyA,1,0.0,0,0,1,0,0
क्ङि,kṅi,kNi,8,0.0001,0,7,1,0,0
क्च,kca,kca,89,0.0006,15,12,26,34,2
क्चा,kcā,kcA,3,0.0,1,0,0,2,0
क्चि,kci,kci,21,0.0001,2,4,5,9,1
क्चु,kcu,kcu,1,0.0,1,0,0,0,0
क्चू,kcū,kcU,14,0.0001,0,0,3,8,3
क्चे,kce,kce,13,0.0001,0,3,8,2,0
क्चै,kcai,kcE,7,0.0,0,2,2,1,2
क्चो,kco,kco,2,0.0,0,0,1,1,0
क्च्यु,kcyu,kcyu,1,0.0,0,0,1,0,0
क्छ,kcha,kCa,28,0.0002,0,12,8,7,1
क्छा,kchā,kCA,2,0.0,0,1,1,0,0
क्छि,kchi,kCi,3,0.0,0,0,2,1,0
क्छु,kchu,kCu,3,0.0,0,1,1,0,1
क्छे,kche,kCe,1,0.0,0,0,0,1,0
क्छौ,kchau,kCO,2,0.0,0,1,1,0,0
क्छ्रु,kchru,kCru,1,0.0,0,1,0,0,0
क्छ्रो,kchro,kCro,1,0.0,0,0,0,1,0
क्टु,kṭu,kwu,1,0.0,0,1,0,0,0
क्ट्वा,kṭvā,kwvA,1,0.0,0,0,0,0,1
क्ठ,kṭha,kWa,2,0.0,0,2,0,0,0
क्ण,kṇa,kRa,20,0.0001,18,2,0,0,0
क्णं,kṇaṃ,kRaM,5,0.0,5,0,0,0,0
क्णः,kṇaḥ,kRaH,7,0.0,7,0,0,0,0
क्णा,kṇā,kRA,5,0.0,4,0,0,1,0
क्णाः,kṇāḥ,kRAH,2,0.0,2,0,0,0,0
क्णे,kṇe,kRe,3,0.0,2,0,0,1,0
क्णो,kṇo,kRo,6,0.0,6,0,0,0,0
क्त,kta,kta,13523,0.0944,1217,3313,4110,3876,1003
क्तं,ktaṃ,ktaM,7485,0.0522,583,1867,2100,2272,661
क्तः,ktaḥ,ktaH,2740,0.0191,210,1017,719,583,211
क्ता,ktā,ktA,7791,0.0544,752,2339,2086,1993,621
क्तां,ktāṃ,ktAM,390,0.0027,19,135,123,84,29
क्ताः,ktāḥ,ktAH,886,0.0062,93,346,222,150,75
क्ति,kti,kti,5020,0.035,724,771,1208,1796,520
क्तिं,ktiṃ,ktiM,504,0.0035,42,198,93,113,58
क्तिः,ktiḥ,ktiH,562,0.0039,37,60,157,244,64
क्ती,ktī,ktI,227,0.0016,47,41,37,89,13
क्तीः,ktīḥ,ktIH,22,0.0002,9,4,4,5,0
क्तु,ktu,ktu,987,0.0069,228,340,241,150,28
क्तुं,ktuṃ,ktuM,410,0.0029,5,196,90,97,22
क्तुः,ktuḥ,ktuH,12,0.0001,4,1,2,4,1
क्तू,ktū,ktU,147,0.001,95,21,26,5,0
क्तूं,ktūṃ,ktUM,12,0.0001,8,2,2,0,0
क्तृ,ktṛ,ktf,99,0.0007,2,12,50,34,1
क्तॄ,ktṝ,ktF,16,0.0001,2,7,4,2,1
क्तॄं,ktṝṃ,ktFM,1,0.0,0,0,1,0,0
क्ते,kte,kte,2730,0.0191,375,725,813,590,227
क्तेः,kteḥ,kteH,64,0.0004,0,7,15,34,8
क्तै,ktai,ktE,464,0.0032,25,159,164,92,24
क्तैः,ktaiḥ,ktEH,210,0.0015,14,64,73,38,21
क्तो,kto,kto,3438,0.024,221,1167,835,907,308
क्तोः,ktoḥ,ktoH,4,0.0,4,0,0,0,0
क्तौ,ktau,ktO,428,0.003,57,128,101,82,60
क्त्य्,kty,kty,45,0.0003,36,5,1,2,1
क्त्य,ktya,ktya,166,0.0012,10,22,46,81,7
क्त्यं,ktyaṃ,ktyaM,5,0.0,2,0,0,2,1
क्त्यः,ktyaḥ,ktyaH,2,0.0,1,1,0,0,0
क्त्या,ktyā,ktyA,1521,0.0106,34,278,411,450,347
क्त्यां,ktyāṃ,ktyAM,13,0.0001,5,2,2,2,2
क्त्याः,ktyāḥ,ktyAH,5,0.0,3,1,0,1,0
क्त्यु,ktyu,ktyu,60,0.0004,0,2,10,40,8
क्त्यू,ktyū,ktyU,2,0.0,0,1,1,0,0
क्त्यृ,ktyṛ,ktyf,37,0.0003,1,29,4,1,2
क्त्ये,ktye,ktye,20,0.0001,8,2,0,9,1
क्त्यै,ktyai,ktyE,57,0.0004,12,4,11,27,3
क्त्यो,ktyo,ktyo,35,0.0002,9,5,9,9,3
क्त्योः,ktyoḥ,ktyoH,4,0.0,0,1,0,3,0
क्त्यौ,ktyau,ktyO,1,0.0,0,0,0,1,0
क्त्र,ktra,ktra,381,0.0027,21,60,148,127,25
क्त्रं,ktraṃ,ktraM,212,0.0015,12,60,53,66,21
क्त्रः,ktraḥ,ktraH,34,0.0002,0,11,14,8,1
क्त्रा,ktrā,ktrA,295,0.0021,11,114,88,66,16
क्त्रां,ktrāṃ,ktrAM,21,0.0001,0,4,6,8,3
क्त्राः,ktrāḥ,ktrAH,17,0.0001,2,7,4,2,2
क्त्रि,ktri,ktri,11,0.0001,0,1,6,4,0
क्त्रिः,ktriḥ,ktriH,1,0.0,0,1,0,0,0
क्त्री,ktrī,ktrI,6,0.0,0,0,2,3,1
क्त्रीं,ktrīṃ,ktrIM,1,0.0,0,0,0,1,0
क्त्रु,ktru,ktru,1,0.0,0,0,1,0,0
क्त्रे,ktre,ktre,240,0.0017,31,29,56,100,24
क्त्रै,ktrai,ktrE,18,0.0001,0,10,3,4,1
क्त्रैः,ktraiḥ,ktrEH,10,0.0001,0,7,2,1,0
क्त्रो,ktro,ktro,60,0.0004,0,15,25,14,6
क्त्रौ,ktrau,ktrO,7,0.0,0,4,2,0,1
क्त्र्या,ktryā,ktryA,2,0.0,1,0,0,1,0
क्त्व्,ktv,ktv,23,0.0002,23,0,0,0,0
क्त्व,ktva,ktva,50,0.0003,5,7,21,10,7
क्त्वं,ktvaṃ,ktvaM,45,0.0003,3,10,10,21,1
