root	ppp_form	gana_class_dcs	voice_dcs	corpus_occurrences
vac	ukta	2	P.	7734
kṛ	kṛta	2	Ā	7599
gam	gata	6	Ā	6270
yuj	yukta	6	Ā	3786
sthā	sthita	1	Ā	3598
jan	jāta	4	P.	3269
smṛ	smṛta	1	Ā	2966
han	hata	6	P.	2890
prāp	prāpta	1	P.	2352
āgam	āgata	6	P.	2054
dṛś	dṛṣṭa	6	P.	2012
pravac	prokta	2	P.	1844
bhū	bhūta	1	Ā	1799
mṛ	mṛta	4	Ā	1664
śudh	śuddha	4	Ā	1656
dā	datta	1	Ā	1471
krudh	kruddha	4	Ā	1409
sidh	siddha	1	Ā	1393
hā	hīna	1	P.	1293
man	mata	8	P.	1218
bandh	baddha	4	P.	1200
ji	jita	9	P.	1176
śru	śruta	4	P.	1119
saṁyuj	saṃyukta	7	Ā	1118
muc	mukta	6	Ā	1116
kathay	kathita	10	Ā	1091
nihan	nihata	2	Ā	1030
pat	patita	1	Ā	1008
prī	prīta	9	Ā	926
jṛ	jīrṇa	6	P.	925
vṛ	vṛta	5	Ā	924
pṛ	pūrṇa	9	Ā	892
sampad	sampanna	4	P.	885
bhid	bhinna	6	P.	855
hṛṣ	hṛṣṭa	1	P.	849
pūjay	pūjita	10	Ā	825
dīp	dīpta	4	P.	820
iṣ	iṣṭa	1	P.	751
āvṛ	āvṛta	9	P.	751
vidhā	vihita	3	Ā	740
pracch	pṛṣṭa	1	P.	730
labh	labdha	1	P.	727
ram	rata	4	Ā	724
dah	dagdha	2	P.	723
tap	tapta	4	Ā	703
upe	upeta	2	Ā	703
śam	śānta	1	P.	687
kṣi	kṣīṇa	9	Ā	664
varjay	varjita	10	Ā	664
niyam	niyata	1	Ā	661
duṣ	duṣṭa	4	Ā	645
pravṛt	pravṛtta	1	Ā	645
chid	chinna	1	P.	633
naś	naṣṭa	1	P.	633
āśri	āśrita	1	Ā	632
muh	mūḍha	4	Ā	622
pratiṣṭhā	pratiṣṭhita	1	Ā	615
bhī	bhīta	1	Ā	614
praviś	praviṣṭa	4	P.	608
khyā	khyāta	4	P.	601
prasad	prasanna	1	Ā	601
hṛ	hṛta	2	P.	600
tuṣ	tuṣṭa	4	Ā	577
grah	gṛhīta	6	Ā	575
bhāvay	bhāvita	10	Ā	573
mad	matta	3	P.	557
samprāp	samprāpta	5	Ā	554
viśru	viśruta	5	Ā	550
vyavasthā	vyavasthita	1	Ā	537
dru	druta	1	Ā	536
saṁsthā	saṃsthita	1	Ā	528
saṁkrudh	saṃkruddha	4	Ā	528
svap	supta	1	Ā	525
niśā	niśita	3	Ā	523
yā	yāta	2	Ā	521
prakīrtay	prakīrtita	10	P.	517
bhañj	bhagna	4	P.	514
vivarjay	vivarjita	10	Ā	514
ās	āsīna	4	P.	513
atī	atīta	1	P.	509
vad	udita	1	Ā	504
utpad	utpanna	4	P.	500
dhṛ	dhṛta	4	P.	499
āyam	āyata	6	P.	497
sev	sevita	4	P.	490
pā	pīta	1	Ā	487
avasthā	avasthita	1	Ā	487
udyam	udyata	6	P.	487
saṁvṛ	saṃvṛta	9	Ā	487
āsthā	āsthita	1	Ā	483
vid	vidita	2	Ā	482
viśudh	viśuddha	4	P.	473
utthā	utthita	1	Ā	467
cyu	cyuta	1	P.	465
pīḍay	pīḍita	10	Ā	465
bhūṣay	bhūṣita	10	Ā	463
śak	śakta	4	P.	462
upapad	upapanna	4	P.	452
pū	pūta	1	P.	449
vṛt	vṛtta	3	P.	441
sṛj	sṛṣṭa	2	P.	438
dham	dhmāta	1	Ā	436
alaṁkṛ	alaṃkṛta	8	Ā	436
śā	śita	4	P.	425
piṣ	piṣṭa	1	P.	424
viśiṣ	viśiṣṭa	7	P.	421
āpad	āpanna	4	P.	416
nivṛt	nivṛtta	1	Ā	416
arday	ardita	10	Ā	401
parivṛ	parivṛta	5	Ā	397
prahṛṣ	prahṛṣṭa	4	Ā	396
samāgam	samāgata	6	P.	394
vikhyā	vikhyāta	2	P.	393
upasthā	upasthita	1	Ā	383
parikīrtay	parikīrtita	10	P.	383
snā	snāta	2	Ā	382
vimuc	vimukta	6	Ā	382
tyaj	tyakta	1	Ā	381
abhidhā	abhihita	3	Ā	381
nirmā	nirmita	2	P.	381
kīrtay	kīrtita	10	Ā	379
vyadh	viddha	4	Ā	378
samman	saṃmata	8	Ā	377
vibhūṣay	vibhūṣita	10	P.	366
ārabh	ārabdha	1	P.	361
kṣip	kṣipta	6	Ā	360
su	suta	6	P.	360
vigam	vigata	6	P.	360
virudh	viruddha	7	Ā	358
udāhṛ	udāhṛta	2	P.	356
īray	īrita	10	Ā	355
ākhyā	ākhyāta	4	P.	355
kup	kupita	4	Ā	352
gup	gupta	1	Ā	345
prasidh	prasiddha	4	P.	344
āviś	āviṣṭa	6	Ā	342
vyākhyā	vyākhyāta	2	Ā	341
samāyuj	samāyukta	7	P.	338
vikṛ	vikṛta	5	P.	328
praśaṁs	praśasta	1	Ā	324
sambhū	sambhūta	1	Ā	323
lip	lipta	4	Ā	322
mūrchay	mūrchita	10	P.	319
bhuj	bhukta	6	P.	316
coday	codita	10	Ā	316
samṛdh	samṛddha	4	Ā	314
marday	mardita	10	Ā	310
prayuj	prayukta	7	Ā	310
guh	gūḍha	6	P.	305
sampṛ	sampūrṇa	3	P.	303
udi	udita	4	Ā	301
nirji	nirjita	1	P.	301
nyas	nyasta	2	P.	300
anuprāp	anuprāpta	5	Ā	299
saṁskṛ	saṃskṛta	8	Ā	299
dam	dānta	4	P.	295
mohay	mohita	10	Ā	293
saṁtap	saṃtapta	4	Ā	293
anugam	anugata	1	Ā	291
juṣ	juṣṭa	6	Ā	289
abhihan	abhihata	4	P.	288
kalpay	kalpita	10	Ā	287
sādhay	sādhita	10	Ā	287
vṛdh	vṛddha	6	P.	282
mā	mita	4	P.	282
nī	nīta	2	P.	280
īpsay	īpsita	0	Ā	277
āruh	ārūḍha	6	Ā	276
upaviś	upaviṣṭa	6	P.	276
rakṣ	rakṣita	4	P.	275
śrī	śṛta	4	P.	272
saṁjan	saṃjāta	4	Ā	270
svid	svinna	4	P.	269
vismi	vismita	1	P.	268
sthāpay	sthāpita	10	Ā	264
śram	śrānta	1	Ā	264
vistṛ	vistīrṇa	9	P.	264
vī	vīta	2	Ā	264
ākṛ	ākīrṇa	6	P.	263
lubh	lubdha	4	Ā	262
upāgam	upāgata	1	P.	259
bhāṣ	bhāṣita	1	P.	258
prasū	prasūta	2	P.	258
hu	huta	3	Ā	257
sañj	sakta	1	Ā	254
nidhā	nihita	3	Ā	254
praṇam	praṇata	1	Ā	253
nam	nata	1	Ā	252
cūrṇay	cūrṇita	0	P.	252
samutpad	samutpanna	4	P.	252
āhan	āhata	2	Ā	251
vihā	vihīna	3	Ā	251
saṁgam	saṃgata	6	Ā	250
uddhṛ	uddhṛta	1	Ā	250
nirdiś	nirdiṣṭa	6	Ā	249
same	sameta	2	P.	249
anujñā	anujñāta	9	Ā	248
saṁmā	saṃmita	3	Ā	248
tṛp	tṛpta	6	P.	247
mud	mudita	1	P.	247
śobhay	śobhita	10	Ā	246
jñā	jñāta	4	Ā	245
vas	uṣita	2	P.	245
prayam	prayata	1	Ā	243
saṁrabh	saṃrabdha	1	Ā	241
niram	nirata	1	P.	240
antardhā	antarhita	3	Ā	239
niści	niścita	5	Ā	238
samākhyā	samākhyāta	4	P.	238
darśay	darśita	10	Ā	237
upahan	upahata	2	P.	236
niṣad	niṣaṇṇa	1	Ā	236
prayā	prayāta	2	Ā	236
abhibhū	abhibhūta	1	P.	235
śaṁs	śasta	2	Ā	234
bhraṁś	bhraṣṭa	1	P.	234
unmad	unmatta	4	Ā	234
unnam	unnata	1	Ā	232
nirmuc	nirmukta	6	P.	232
arcay	arcita	10	Ā	230
prasthā	prasthita	1	Ā	229
tvar	tvarita	1	P.	223
vinirmuc	vinirmukta	6	P.	223
nipātay	nipātita	10	Ā	221
janay	janita	10	Ā	220
yam	yata	6	P.	218
arpay	arpita	10	Ā	215
parī	parīta	2	Ā	215
praśam	praśānta	1	P.	215
añj	akta	7	Ā	214
vinī	vinīta	1	Ā	212
śās	śiṣṭa	1	P.	211
upaśobhay	upaśobhita	10	P.	211
nirgam	nirgata	6	P.	210
satkṛ	satkṛta	8	Ā	210
bhakṣay	bhakṣita	10	Ā	207
nipat	nipatita	1	Ā	207
chad	channa	1	P.	206
niṣev	niṣevita	1	Ā	204
saṁhṛṣ	saṃhṛṣṭa	1	Ā	204
adhiṣṭhā	adhiṣṭhita	1	Ā	203
vyāp	vyāpta	5	Ā	203
jval	jvalita	1	Ā	202
pātay	pātita	10	Ā	201
spṛś	spṛṣṭa	6	Ā	199
utsṛj	utsṛṣṭa	6	Ā	199
ucchri	ucchrita	1	Ā	196
stu	stuta	1	Ā	194
ādā	ātta	4	Ā	194
saṁyam	saṃyata	1	Ā	194
vyath	vyathita	1	P.	193
uddiś	uddiṣṭa	6	Ā	193
saṁvṛt	saṃvṛtta	1	Ā	192
tras	trasta	4	Ā	191
daṁś	daṣṭa	1	Ā	190
vitan	vitata	8	Ā	189
karśay	karśita	10	P.	187
kṣan	kṣata	8	Ā	184
prapad	prapanna	4	P.	183
saṁsṛj	saṃsṛṣṭa	6	Ā	183
udbhū	udbhūta	1	P.	179
viji	vijita	1	Ā	179
saṁśri	saṃśrita	1	Ā	179
prath	prathita	1	P.	178
avaśiṣ	avaśiṣṭa	7	P.	178
upaci	upacita	5	Ā	178
pradīp	pradīpta	4	Ā	178
samāvṛ	samāvṛta	5	P.	178
pravṛdh	pravṛddha	1	Ā	177
viṣad	viṣaṇṇa	1	Ā	177
yojay	yojita	10	Ā	176
car	carita	1	Ā	175
samutthā	samutthita	1	Ā	174
gras	grasta	1	Ā	173
āyā	āyāta	2	Ā	173
saṁhan	saṃhata	2	P.	172
arjay	arjita	10	Ā	171
majj	magna	1	Ā	171
āhṛ	āhṛta	1	Ā	171
vinaś	vinaṣṭa	4	Ā	171
yat	yatta	1	P.	170
lag	lagna	1	P.	170
veṣṭay	veṣṭita	10	Ā	169
āsañj	āsakta	1	Ā	169
preṣay	preṣita	10	Ā	169
niyuj	niyukta	7	Ā	168
pratī	pratīta	2	P.	168
dūṣay	dūṣita	10	Ā	167
avatṛ	avatīrṇa	6	P.	167
ādhā	āhita	3	Ā	166
puṭ	puṭita	6	P.	166
kāray	kārita	10	Ā	164
apahṛ	apahṛta	1	Ā	164
udvij	udvigna	6	P.	164
aṅkay	aṅkita	10	P.	163
upadiś	upadiṣṭa	6	Ā	162
atikram	atikrānta	6	P.	161
vikram	vikrānta	1	Ā	161
puraskṛ	puraskṛta	8	Ā	160
sambhṛ	saṃbhṛta	3	Ā	160
parivāray	parivārita	10	Ā	160
ākram	ākrānta	6	P.	159
vijñā	vijñāta	9	Ā	158
anurañj	anurakta	4	Ā	157
ānī	ānīta	1	Ā	157
paripṛ	paripūrṇa	9	P.	156
prasvap	prasupta	2	Ā	155
visṛj	visṛṣṭa	4	Ā	155
pūray	pūrita	10	Ā	154
lī	līna	1	Ā	154
racay	racita	10	Ā	154
miśray	miśrita	0	P.	154
śri	śrita	1	Ā	153
abhiṣic	abhiṣikta	4	P.	152
paryāp	paryāpta	5	Ā	152
prabudh	prabuddha	4	P.	152
tāḍay	tāḍita	10	Ā	151
pramad	pramatta	4	Ā	151
upasaṁkram	upasaṃkrānta	1	Ā	149
upagam	upagata	6	P.	148
pracchad	pracchanna	1	P.	148
ci	cita	3	Ā	148
sic	sikta	4	Ā	147
ape	apeta	2	Ā	147
praṇī	praṇīta	1	Ā	147
tan	tata	8	Ā	146
guṇay	guṇita	0	P.	146
stambh	stabdha	5	P.	145
niḥsṛ	niḥsṛta	1	Ā	145
vibhaj	vibhakta	1	Ā	144
abhyanujñā	abhyanujñāta	9	Ā	143
namaskṛ	namaskṛta	8	Ā	143
niviś	niviṣṭa	6	Ā	142
samprasthā	samprasthita	1	Ā	142
mil	milita	6	Ā	142
maṇḍay	maṇḍita	0	Ā	142
carv	cūrṇa	1	Ā	141
muh	mugdha	4	Ā	141
rudh	ruddha	6	P.	141
sambhram	saṃbhrānta	1	P.	141
abhyāgam	abhyāgata	1	P.	140
ādiś	ādiṣṭa	6	Ā	140
āp	āpta	1	P.	139
abhiman	abhimata	4	P.	139
vyūh	vyūḍha	1	Ā	139
saṁdhā	saṃhita	1	P.	139
samādhā	samāhita	1	P.	139
dih	digdha	2	Ā	138
samindh	samiddha	2	Ā	138
anuṣṭhā	anuṣṭhita	1	Ā	137
parityaj	parityakta	1	Ā	137
prasañj	prasakta	1	Ā	136
āplu	āpluta	1	P.	135
parāji	parājita	2	P.	135
prādurbhū	prādurbhūta	1	P.	135
pariṣkṛ	pariṣkṛta	5	P.	135
puṣ	puṣṭa	2	P.	134
antargam	antargata	1	P.	134
vidru	vidruta	1	Ā	134
gal	galita	1	P.	133
bhṛ	bhṛta	1	Ā	133
uddhan	uddhata	1	P.	133
cal	calita	1	Ā	132
nind	nindita	1	Ā	132
śodhay	śodhita	10	Ā	131
samalaṁkṛ	samalaṃkṛta	8	Ā	131
śap	śapta	1	Ā	130
āci	ācita	5	Ā	130
udgam	udgata	6	P.	130
saṁnam	saṃnata	1	Ā	129
jāray	jārita	10	Ā	129
niveday	nivedita	10	Ā	129
plu	pluta	1	P.	128
abhyañj	abhyakta	7	Ā	128
āyat	āyatta	1	Ā	128
vivṛ	vivṛta	9	P.	128
gā	gīta	2	P.	127
atiric	atirikta	4	Ā	127
ukṣ	ukṣita	6	Ā	126
ruh	rūḍha	6	Ā	126
saṁkṛ	saṃkīrṇa	6	P.	126
rañjay	rañjita	10	Ā	125
samāp	samāpta	5	Ā	124
