parent	n_children	children
a	1	akāra
aṁśa	18	aṁśakaraṇa|aṁśakalpanā|aṁśaprakalpanā|aṁśapradāna|aṁśabhāgin|aṁśabhāj|aṁśabhū|aṁśabhūta|aṁśarūpiṇī|aṁśavat|aṁśasavarṇana|aṁśasvara|aṁśahara|aṁśahārin|aṁśāṁśa|aṁśāṁsi|aṁśāvataraṇa|aṁśīkṛ
aṁśin	1	aṁśi-tā
aṁśu	16	aṁśujāla|aṁśudhara|aṁśudhāna|aṁśudhāraya|aṁśunadī|aṁśupaṭṭa|aṁśupati|aṁśubhartṛ|aṁśumat|aṁśumālā|aṁśumālin|aṁśuvāṇa|aṁśuvimarda|aṁśuhasta|aṁśūdaka|aṁśv-ādi
aṁsa	13	aṁsakūṭa|aṁsatra|aṁsadaghna|aṁsadhrī|aṁsapīṭha|aṁsapṛṣṭha|aṁsaphalaka|aṁsabhāra|aṁse-bhāra|aṁsabhārika|aṁse-bhārika|aṁsamūla|aṁsoccaya
aṁhri	3	aṁhripa|aṁhriskandha|aṁhriśiras
aṁhas	5	aṁhaspati|aṁhasas-pati|aṁhaspatya|aṁho-muc|aṁho-liṅga
aṁhu	1	aṁhubhedī
akaḍama	1	akaḍamacakra
akaniṣṭha	2	akaniṣṭhaga|akaniṣṭhapa
akaruṇa	1	akaruṇatva
akartṛ	1	akartṛtva
akarman	2	akarma-bhoga|a-karmānvita
akalka	1	akalkatā
akāṇḍa	2	akāṇḍapāta-jāta|akāṇḍaśūla
akāma	5	akāmakarśana|akāmatas|akāmatā|akāmasaṁjñapana|akāmahata
akāraṇa	1	a-kāraṇotpanna
akārya	1	akāryakārin
akāla	12	a-kālaka|akālakuṣmāṇḍa|akālakusuma|akālaja|akālajāta|akālotpanna|akālajaladodaya|akālameghodaya|akālavelā|akālasaha|akālakaumudī|akālahīnam
akiñcana	2	akiñcanatā|akiñcanatva
akīrti	1	akīrtikara
akuṇṭha	1	akuṇṭhadhiṣṇya
akutas	7	a-kutaś-cana|akutaś-cala|a-kutaś-cid|a-kuto-mṛtyu|a-kuto-bhaya|a-kutaścid-bhaya|a-kutraca-bhaya
akupya	1	akupyaka
akula	2	a-kulaka|akulatā
akṛta	13	akṛtakāram|akṛtakārya|akṛtakṛtya|akṛtacūḍa|akṛtajña|akṛtajña-tā|akṛtabuddhi|akṛtabuddhi-tva|akṛtavraṇa|akṛtaśmaśāna|akṛtātman|akṛtārtha|akṛtāstra
akṛtin	1	akṛti-tva
akṛtya	1	akṛtyakārin
akṛtta	1	akṛttaruc
akṛśa	3	akṛśakīrti|akṛśalakṣmī|a-kṛśāśva
akṛṣṭa	1	akṛṣṭapacya
akkā	1	akkādevī
akrama	2	akramaśas|a-kramoḍhā
akrodha	1	akrodhamaya
akliṣṭa	3	akliṣṭakarman|akliṣṭakārin|akliṣṭavrata
akṣa	18	akṣakarṇa|akṣaja|akṣadṛk-karman|akṣadvāra|akṣadhur|akṣadhurā|akṣadhūrtila|akṣapīḍa|akṣabhā|akṣabhāga|akṣabhāra|akṣaśabda|akṣasaṅgam|akṣāṁsa|akṣāgra|akṣāgra-kīla|akṣāgra-kīlaka|akṣā-nah
akṣa	48	akṣakāma|akṣakitava|akṣakuśala|akṣakṣapaṇa|akṣaglaha|akṣaja|akṣatattva|akṣadāya|akṣadevana|akṣadevin|akṣadyū|akṣadyūta|akṣadyūtādi|akṣadrugdha|akṣadhara|akṣadharma|akṣadhūrta|akṣanaipuṇa|akṣanaipuṇya|akṣaparājaya|akṣapari|akṣapāta|akṣapātana|akṣapriya|akṣabhūmi|akṣamada|akṣamātra|akṣamālā|akṣamālin|akṣamālikā|akṣarāja|akṣavat|akṣavāpa|akṣavāma|akṣavid|akṣavṛtta|akṣaśauṇḍa|akṣaśikṣā|akṣaśīla|akṣasūkta|akṣasūtra|akṣastuṣa|akṣahṛdaya|akṣahṛdaya-jña|akṣātivāpa|akṣāvapana|akṣāvalī|akṣāvāpa
akṣa	8	akṣadarśaka|akṣadṛś|akṣapaṭala|akṣapāṭa|akṣapāṭaka|akṣapāṭika|akṣavāṭa|akṣavid
akṣata	2	a-kṣatāmaya|akṣatayoni
akṣama	2	akṣamatā|a-kṣamin
akṣaya	9	akṣayaguṇa|akṣayatā|akṣayatva|akṣayatṛtīyā|akṣayanīvī|akṣayapuruhūta|akṣayamati|akṣayaloka|akṣayavaṭa
akṣayya	2	akṣayyanavamī|akṣayyodaka
akṣara	33	akṣarakara|akṣaracañcu|akṣaracuñcu|akṣaracaṇa|akṣaracana|akṣaracyutaka|akṣarachandas|akṣarajananī|akṣarajīvaka|akṣarajīvika|akṣarajīvin|akṣaratūlikā|akṣaranyāsa|akṣarapaṅkti|akṣarabhāj|akṣaramukha|akṣaramuṣṭikā|akṣaravat|akṣaravinyāsa|akṣaraśas|akṣaraśikṣā|akṣaraśūnya|akṣarasaṁsthāna|akṣarasamāmnāya|akṣarasaṁhāta|akṣarasaṁghāta|akṣarasaṁhitā|akṣarasadhātu|akṣarasampad|akṣarākṣara|akṣarāṅga|a-kṣarāntara|akṣare-sthā
akṣarya	1	akṣaryaṁ-revat
akṣāra	2	akṣāralavaṇa|akṣāralavaṇāśin
akṣi	24	akṣikūṭa|akṣikūṭaka|akṣigata|akṣigola|akṣijāha|akṣitārā|akṣinikāṇam|akṣinimeṣa|akṣipakṣman|akṣipaṭala|akṣipat|akṣipāka|akṣibandha|akṣibhū|akṣibheṣaja|akṣibhruva|akṣimat|akṣilakṣīkṛ|akṣiloman|akṣivikūṇita|akṣisaṁtarjana|akṣisaṁskāra|akṣy-āmaya|akṣy-āmayin
