lemma_id	lemma	upos	grammar	meaning
21898	abadhira	ADJ	adj	not deaf
21899	abadhya	ADJ	adj	unmeaning; nonsensical
202390	abadhyamāna	ADJ	adj	
171855	abahirmati	NOUN	f	
21914	abala	NOUN	m	the plant Tapia Crataeva; one of the Devas called Yājñamuṣ
172972	abaliṣṭha	ADJ	adj	
209959	abandha	NOUN	m	non-attachment
21910	abandhya	ADJ	adj	not barren; not unfruitful; fruitful; productive
22002	abbhakṣa	ADJ	adj	living upon water
22004	abbhakṣaṇa	NOUN	n	living upon water (a kind of fasting)
166934	abbhra	NOUN	n	Cyperus rotundus
21981	abdayā	ADV	ind	out of desire of giving water
21993	abdhidvīpā	NOUN	f	earth
167597	abdhihiṇḍīra	NOUN	n	the bone of the cuttle-fish
218056	abdhika	ADJ	adj	
21982	abdimat	ADJ	adj	possessed of clouds
171356	abhaikṣya	NOUN	n	
22033	abhajyamāna	ADJ	adj	(Pass.) not being detached; not being vanquished
204763	abhaktika	ADJ	adj	not showing Bhakti
22023	abhaktimat	ADJ	adj	undevoted to; unbelieving
214302	abharaṇa	NOUN	n	non-support
210099	abhasmībhāva	NOUN	m	the not becoming ashes
22071	abhavadīya	ADJ	adj	not belonging to your Honour
170646	abhavana	NOUN	n	nonexistence
206318	abhayādi	NOUN	m	name of Madanavinoda, 1
207319	abhaṅga	NOUN	m	
173581	abhedana	ADJ	adj	
210274	abhettṛ	ADJ	adj	not breaking; not disclosing
22155	abhicakṣaṇā	NOUN	f	(in augury or astron.) observation (of the sky); a vista
22156	abhicakṣya	ADJ	adj	manifest
158616	abhicchad	VERB	1.P.	to cover over
201320	abhicārika	ADJ	adj	
22167	abhicārita	ADJ	adj	enchanted; charmed
209826	abhidheyīkṛ	VERB	8.P.	to denote sth.
176511	abhidhits	VERB	Desid.Ā.,Denom.P.	
202189	abhidyamāna	ADJ	adj	
206105	abhigarv	VERB	1.P.,1.Ā.	
22134	abhigeṣṇa	ADJ	adj	calling to; shouting
223582	abhighārin	ADJ	adj	
209425	abhigṛdhna	ADJ	adj	covetous
31177	abhihasya	ADJ	adj	ridiculous
159225	abhihve	VERB	1.Ā.,4.P.,4.Ā.	to call near
225539	abhihvātṛ	ADJ	adj	
22118	abhikhyāna	NOUN	n	fame; glory
220490	abhikramitu	NOUN	m	accessing
171090	abhikāṅkṣaṇa	NOUN	n	wish; desire
221700	abhikīrṇīkṛ	VERB	8.P.	to cover
30887	abhilekhita	NOUN	n	a written document
200242	abhiliṅg	VERB	1.P.,1.Ā.	
223907	abhilāpana	NOUN	n	conversation
221565	abhilāpin	ADJ	adj	
211134	abhilāṣībhū	VERB	1.P.,1.Ā.	
22484	abhimarṣaka	ADJ	adj	touching; coming in contact with
216563	abhimat	ADJ	adj	containing the word 'abhi'
218429	abhimban	NOUN	m	name of a man (?)
22467	abhimethana	NOUN	n	insulting or injurious speech
158885	abhimukhay	VERB	Denom. P.	to face
22430	abhimādyatka	ADJ	adj	partially intoxicated; half-drunk
171924	abhimārgita	ADJ	adj	
22448	abhimātin	ADJ	adj	insidious
217202	abhimṛkṣay	VERB	Denom.P.	to rub
22487	abhimṛṣṭaja	ADJ	adj	illegitimate(?); summoned; invited
175441	abhinandatā	NOUN	f	
22269	abhinanditṛ	ADJ	adj	gladdening
158694	abhinavībhū	VERB	1.P.	to become new
158703	abhinidhyai	VERB	4.P.	to give attention to
22291	abhinihita	NOUN	m	name of a special Sandhi
158716	abhinirbharts	VERB	1.P.	to scold thoroughly
201085	abhinirhṛtatā	NOUN	f	
199806	abhiniryātṛ	ADJ	adj	
211991	abhiniveśaka	NOUN	m	affection
224804	abhiniviṣṭaka	ADJ	adj	
210035	abhiniścikramiṣā	NOUN	f	the wish to leave
22309	abhiniṣkārin	ADJ	adj	intending anything evil against; injuring; devising against (others)
167968	abhinnīkaraṇa	NOUN	n	
167774	abhinnīkṛta	ADJ	adj	ungetrennt
214298	abhipannatama	ADJ	adj	most appropriate
158749	abhipariṣvañj	VERB	1.Ā.,1.P.	to embrace
223961	abhiparyāvarta	NOUN	m	
217709	abhipatitu	NOUN	m	
158779	abhipragai	VERB	4.P.	to begin to praise
219126	abhipramur	ADJ	adj	zerst￶rend
158764	abhipū	VERB	9.P.,1.P.,1.Ā.,9.Ā.	to flow purified towards or for (acc. or dat.); to blow towards; to make bright; to glorify
30862	abhiroruda	ADJ	adj	causing tears (indicative of strong passion); greatly wailing
176291	abhirāgala	NOUN	m	
214173	abhisarjay	VERB	10.P.,10.Ā.	
31154	abhisartṛ	ADJ	adj	attacking; assailant; someone who approaches
214653	abhisaṃdhyam	ADV	ind	
31092	abhisaṃstham	ADV	ind	in regular order
172515	abhisaṃstāra	NOUN	m	
31169	abhiskandam	ADV	ind	running near
225872	abhitaṣṭīya	NOUN	n	
22207	abhitsāra	NOUN	m	catching; entrapping
22203	abhitti	NOUN	f	not bursting; no wall
171594	abhittika	ADJ	adj	
30937	abhivirājita	ADJ	adj	quite bright or brilliant
30980	abhivlaṅga	NOUN	m	turning off; shaking off; Schlinge
209237	abhivyaktā	NOUN	f	one of the seven tongues of fire
174675	abhivyaṅgyatā	NOUN	f	
222625	abhiśastṛ	ADJ	adj	
219891	abhiścotay	VERB	10.P.,10.Ā.	betr￤ufeln
31005	abhiśoca	ADJ	adj	shining; glowing with heat
159045	abhiśī	VERB	2.Ā.	to lie upon (acc.)
159060	abhiṣad	VERB	1.P.	to besiege
159061	abhiṣah	VERB	1.Ā.	to overpower; to conquer; to gain; to tolerate; to pardon
31017	abhiṣakta	ADJ	adj	possessed by evil spirits; humiliated; defeated; reviled; cursed
219659	abhiṣan	VERB	8.P.,8.Ā.	
221218	abhiṣavaṇa	ADJ	adj	relating to Soma pressing
172327	abhiṣecayitṛ	ADJ	adj	
213427	abhiṣenay	VERB	Denom.P.	to attack; to fight with
31048	abhiṣeṇa	NOUN	m	directing arrows against
31068	abhiṣyandi	NOUN	n	a smaller city appended to a larger one; suburb
31051	abhiṣṭana	NOUN	m	roaring; hollow noise; thundering
31059	abhiṣṭava	NOUN	m	praise; eulogy
223383	abhiṣṭhāna	NOUN	n	
31057	abhiṣṭimat	ADJ	adj	rendering assistance
206686	abhoga	ADJ	adj	not bent; straight
210812	abhogin	ADJ	adj	not enjoying
219412	abhoj	ADJ	adj	nicht freigiebig
31296	abhojin	ADJ	adj	not eating; fasting
31291	abhoktavya	ADJ	adj	not to be enjoyed or used
205845	abhradhārī	NOUN	f	[alchemy] = kāca
31566	abhrama	NOUN	m	not erring; steadiness; composure
222537	abhraṃga	ADJ	adj	cloud-going
31534	abhraṃkaṣa	NOUN	m	wind
213561	abhrikā	NOUN	f	[gemm.] a kind of flaw in a jewel (?)
31560	abhrita	ADJ	adj	covered with clouds
220949	abhriyā	NOUN	f	name of an Apsaras
31554	abhrottha	NOUN	n	Indra's thunderbolt
31551	abhrānadhyāya	NOUN	m	pause in the study on account of rainy weather
31576	abhrānta	ADJ	adj	unperplexed; not mistaken; not in error; clear; composed
31571	abhrātṛghnī	NOUN	f	not killing a brother
31563	abhrīya	ADJ	adj	belonging to or produced from talc
212761	abhrūvilāsa	ADJ	adj	
31251	abhujiṣya	NOUN	mf	stingy; not a servant; not liberal
31581	abhva	ADJ	adj	monstrous; immense; terrible
221868	abhyadhigantṛ	NOUN	m	
226441	abhyadhikībhū	VERB	1. P.	to become even more
221242	abhyadhva	NOUN	m	
211011	abhyadhyayana	NOUN	n	study
31303	abhyagra	NOUN	n	proximity
170922	abhyah	VERB	1.P.	to say; to speak; to adress; to say with reference to
159232	abhyaj	VERB	1.P.,1.Ā.	to combine; to unite; to steer (a boat)
31362	abhyalaṃkāra	NOUN	m	decoration
31334	abhyamitrīya	ADJ	adj	advancing against or attacking (the enemy)
31325	abhyantarāyāma	NOUN	m	curvature of the spine by spasm; emprosthonos
31327	abhyantarīkaraṇa	NOUN	n	initiating in
211897	abhyanugam	VERB	1.P.	
206817	abhyanuman	VERB	8.Ā.,4.P.,4.Ā.	
159246	abhyanumoday	VERB	10.P.	to assent to; to approve of
216912	abhyanunī	VERB	1.P.,1.Ā.	to conciliate; to pacify
207123	abhyanuvartay	VERB	10.P.,10.Ā.	
201465	abhyanuveṣṭ	VERB	1.P.,1.Ā.	
226217	abhyanuvṛtti	NOUN	f	
159250	abhyanuśās	VERB	1.P.,2.P.,2.Ā.	to indicate; to denote
159255	abhyapaśri	VERB	1.P.	to retire towards (acc.)
31354	abhyardha	NOUN	m	
31357	abhyarhaṇa	NOUN	n	reverencing; honouring
218121	abhyarthaka	ADJ	adj	
31351	abhyarthita	NOUN	n	request
221467	abhyarthīy	VERB	Denom. Ā.	
31344	abhyarṇa	ADJ	adj	near; proximate
159290	abhyas	VERB	2.P.	to be over; to reign over; to excel; to surpass; to overpower; to fall to one's share
170206	abhyastatara	ADJ	adj	
209386	abhyasūyin	ADJ	adj	angry; indignant
159237	abhyatiric	VERB	7.P.	to remain for the sake of (acc.)
159240	abhyativṛt	VERB	1.P.,1.Ā.	to drive past
159263	abhyavacar	VERB	1.P.,1.Ā.	to approach; to assail
214434	abhyavacāray	VERB	10.P.,10.Ā.	
223317	abhyavaduh	VERB	6.P.,2.Ā.,2.P.,4.P.,4.Ā.	
31367	abhyavadānya	ADJ	adj	depriving of (gen.); stingy
221278	abhyavagāh	VERB	1.P.,1.Ā.	
225232	abhyavagāhay	VERB	10. Ā.	
171077	abhyavagāhin	NOUN	m	a kind of ascetic (vānaprastha)
199102	abhyavanāmay	VERB	10.P.	
159275	abhyavapat	VERB	1.P.	to fly near; to fly back down
223230	abhyavara	ADJ	adj	
159277	abhyavaruh	VERB	1.P.	to step down upon; hinabsteigen auf
225121	abhyavasnāpay	VERB	10. Ā.	sich ￼ber etwas baden
159279	abhyavasṛ	VERB	3.P.	to retire from (abl.) towards (acc.)
222799	abhyavān	VERB	1.P.,2.P.	(als Vater) auf (das Kind) ausatmen
224553	abhyavāya	NOUN	m	bathing (?)
31376	abhyavāyana	NOUN	n	going down
31213	abhyaya	NOUN	m	approaching (as of darkness); setting (of the sun)
159288	abhyaś	VERB	5.Ā.,5.P.	to pervade; to reach to; to gain; to overpower
31458	abhyuccaya	NOUN	m	increase
31460	abhyucchraya	NOUN	m	
159356	abhyuddru	VERB	1.P.	to run up to
31487	abhyuddṛṣṭa	ADJ	adj	having become visible (as the moon) during anything; one during the sacrifice of whom the moon has not become visible
31488	abhyuddṛṣṭā	NOUN	f	name of a ceremony; Name einer als prāyaścitta dienenden iṣṭi zum darśapūrṇamāsa
159353	abhyude	VERB	2.P.	to go out in order to meet any one (acc.); to proceed
202575	abhyudgṛ	VERB	9.P.,6.Ā.,6.P.	
159347	abhyudānī	VERB	1.P.	to lead up (out of water); to fetch out from
208107	abhyugra	ADJ	adj	
159331	abhyujji	VERB	1.P.	to obtain by conquering
226059	abhyujjigamiṣu	ADJ	adj	
219948	abhyujjihīrṣu	ADJ	adj	
224184	abhyujjuṣ	VERB	6.Ā.,6.P.	
211218	abhyullas	VERB	1.P.	
222214	abhyupadhāv	VERB	1.P.,1.Ā.	Zuflucht nehmen
207585	abhyupadiś	VERB	6.Ā.,6.P.	
167999	abhyupagati	NOUN	f	
224167	abhyupahṛ	VERB	1.P.	
200422	abhyupakrama	NOUN	m	
217520	abhyupakāra	NOUN	m	device
213637	abhyupapādana	NOUN	n	finding out
225716	abhyupasic	VERB	6. P.	zugie￟en
175901	abhyupaśam	VERB	4.P.,4.Ā.	
212417	abhyupāyaka	ADJ	adj	
31507	abhyupāyana	NOUN	n	a complimentary gift; an inducement
159378	abhyupāyā	VERB	2.P.	to come up to; to approach
220157	abhyutkrāmay	VERB	10.P.,10.Ā.	
210968	abhyutsisṛkṣ	VERB	Desid.P.	to wish to give up (live)
225683	abhyutsṛp	VERB	1. Ā.	
31522	abhyuṣita	ADJ	adj	having dwelt; having passed the night with
209480	abhyābhava	NOUN	m	accident (?)
159311	abhyābhū	VERB	1.P.	to happen to; to occur to (acc.)
223637	abhyācara	NOUN	m	dominion
31422	abhyādāvya	NOUN	m	name of the non-sacrificial fire which in coming close to the sacrificial one blaśes up together with it; Lauffeuer
31412	abhyāghātya	ADJ	adj	recited with interruption
218227	abhyāghātya	NOUN	n	name of a Sāman
31409	abhyāgārika	ADJ	adj	diligent in supporting a family
159326	abhyāhvā	VERB	1.Ā.,4.P.,4.Ā.	to address; to challenge; to attack
220510	abhyākhyātu	NOUN	m	false accusation
31401	abhyākrāmam	ADV	ind	by or in stepping towards repeatedly
214640	abhyālabh	VERB	1.P.,1.Ā.	
