Aṣṭādhyāyī, 1, 1: 1;1 1;vṛddhir ādaic ||;
Aṣṭādhyāyī, 1, 1: 1;2 1;adeṅ guṇaḥ ||;Aṣṭādhyāyī Aṣṭādhyāyī, 6, 1: 21 109;eṅaḥ padāntād ati ||;!;;
Aṣṭādhyāyī, 1, 1: 1;3 1;iko guṇavṛddhī ||;
Aṣṭādhyāyī, 1, 1: 1;4 1;na dhātulopa ārdhadhātuke ||;
Aṣṭādhyāyī, 1, 1: 1;5 1;kṅiti ca ||;Aṣṭādhyāyī Aṣṭādhyāyī, 1, 1: 1 53;ṅicca ||;!;;Aṣṭādhyāyī Aṣṭādhyāyī, 1, 4: 4 6;ṅiti hrasvaś ca ||;!;;Aṣṭādhyāyī Aṣṭādhyāyī, 6, 1: 21 39;vaś ca asya anyatarasyāṁ kiti ||;!;;Aṣṭādhyāyī Aṣṭādhyāyī, 6, 3: 23 45;ugitaś ca ||;!;;Aṣṭādhyāyī Aṣṭādhyāyī, 3, 4: 12 103;yāsuṭ parasmaipadeṣu udātto ṅic ca ||;!;;Aṣṭādhyāyī Aṣṭādhyāyī, 6, 4: 24 103;aṅitaś ca ||;!;;Aṣṭādhyāyī Aṣṭādhyāyī, 4, 1: 13 6;ugitaś ca ||;!;;Aṣṭādhyāyī Aṣṭādhyāyī, 7, 2: 26 118;kiti ca ||;!;;Aṣṭādhyāyī Aṣṭādhyāyī, 7, 4: 28 22;ayaṅ yi kṅiti ||;!;;
Aṣṭādhyāyī, 1, 1: 1;6 1;dīdhīvevīṭām ||;
Aṣṭādhyāyī, 1, 1: 1;7 1;halo .nantarāḥ saṁyogaḥ ||;
Aṣṭādhyāyī, 1, 1: 1;8 1;mukhanāsikāvacano .nunāsikaḥ ||;
Aṣṭādhyāyī, 1, 1: 1;9 1;tulyāsyaprayatnaṁ savarṇam ||;
Aṣṭādhyāyī, 1, 1: 1;10 1;nājjhalau ||;Aṣṭādhyāyī Aṣṭādhyāyī, 7, 2: 26 3;vadavrajahalantasya acaḥ ||;!;;
Aṣṭādhyāyī, 1, 1: 1;11 1;īdūdeddvivacanaṁ pragṛhyam ||;
Aṣṭādhyāyī, 1, 1: 1;12 1;adaso māt ||;
Aṣṭādhyāyī, 1, 1: 1;13 1;śe ||;
Aṣṭādhyāyī, 1, 1: 1;14 1;nipāta ekāj anāṅ ||;
Aṣṭādhyāyī, 1, 1: 1;15 1;ot ||;
Aṣṭādhyāyī, 1, 1: 1;16 1;saṁbuddhau śākalyasyetāv anārṣe ||;
Aṣṭādhyāyī, 1, 1: 1;17 1;uñaḥ ||;
Aṣṭādhyāyī, 1, 1: 1;18 1;ūṁ ||;
Aṣṭādhyāyī, 1, 1: 1;19 1;īdūtau ca saptamyarthe ||;
Aṣṭādhyāyī, 1, 1: 1;20 1;dādhā ghvadāp ||;
Aṣṭādhyāyī, 1, 1: 1;21 1;ādyantavad ekasmin ||;Aṣṭādhyāyī Aṣṭādhyāyī, 6, 1: 21 85;antādivac ca ||;!;;Aṣṭādhyāyī Aṣṭādhyāyī, 6, 3: 23 76;ekādiś caikasya cāduk ||;!;;Śivasūtravārtika ŚSūtraV zu ŚSūtra, 3, 20.1: 48 5;ādyantakoṭyoḥ sphuratā jāgarādeḥ parisphuṭam ||;!;;
Aṣṭādhyāyī, 1, 1: 1;22 1;taraptamapau ghaḥ ||;
