Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 17: 1;1 1;sarvagarbhārtho.yaṁ saṁskāraḥ ādhārasaṁskāradvāreṇa |;
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 17: 1;2 1;bhāryāntare tu kartavyameva prathamagarbhe ||;Khādiragṛhyasūtrarudraskandavyākhyā Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 17: 1 8;garbhāntarārthaṁ tu dvitīye garbhe kuryād eva ||;PARTLY;+  - dvitīya;
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 17: 1;3 1;darśādūrdhvam ā darśādeko māsaḥ yatra kvaca |;
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 17: 1;4 1;saṁjñā vyavahārārthā ||;Āyurvedadīpikā ĀVDīp zu Ca, Sū., 28, 2: 122 2;iyam apyarthaparā saṁjñā ||;PARTLY;+ vyavahāra - para;Āyurvedadīpikā ĀVDīp zu Ca, Śār., 1, 31.2: 214 1;arthānāha arthā ityādi ||;PARTLY;+  - ityādi;Nibandhasaṁgraha NiSaṁ zu Su, Sū., 14, 3.4: -1 2;ārtavasyaiva rajaḥsaṁjñamucyata piṇḍārthaḥ ||;PARTLY;+ vyavahāra - eva;
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 17: 1;5 1;kṛtsnāgnāveva ||;Āyurvedadīpikā ĀVDīp zu Ca, 1, Cik., 4, 26.2: 348 6;agnisamāmiti agnyanurūpām ||;PARTLY;+  - anurūpa;Gopathabrāhmaṇa NEW GB, 1, 1, 33: 33 4;agnir eva savitā pṛthivī sāvitrī ||;PARTLY;+ kṛtsna - sāvitrī;Kauśikasūtra Kauśikasūtra, 2, 7: 16 13;agnim ityagnim ||;PARTLY;+  - iti;Maitrāyaṇīsaṁhitā MS, 1, 2, 1: 3 15;agnā āyūṁṣi pavase .gnir ṛṣir agne pavasva ||;PARTLY;+  - ṛṣi;Maitrāyaṇīsaṁhitā MS, 1, 2, 10: 12 2;agnir jyotir jyotir agniḥ svāhā ||;PARTLY;+  - svāhā;Maitrāyaṇīsaṁhitā MS, 3, 1, 1: 20 55;sātmānam evāgniṁ cinute ||;PARTLY;+ kṛtsna - ci;
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 17: 1;6 1;māsīti māsa ityarthaḥ ||;Āyurvedadīpikā ĀVDīp zu Ca, Indr., 1, 7.6: 281 24;ityuddeśa indriyasthānārthoddeśa ityarthaḥ ||;PARTLY;+  - sthāna;Pañcārthabhāṣya PABh zu PāśupSūtra, 4, 8: 106 13;ityevaṁ vaktāro vadantītyarthaḥ ||;PARTLY;+  - vad;Rasādhyāyaṭīkā RAdhyṬ zu RAdhy, 237.2: 46 6;iti vyoṣarājiḥ kāṁsyarājir ityarthaḥ ||;PARTLY;+  - vyoṣarāji;
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 17: 1;7 1;atra kecit atikrānte.pi mukhyakāle prasavāt |;
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 17: 1;8 1;garbhāntarārthaṁ tu dvitīye garbhe kuryād eva ||;
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 17: 1;9 1;apare tu kālātyaye adhikārābhāvāt prāyaścittamevāhuḥ ||;
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 17: 1;10 1;pūrva eva tu pakṣaḥ śreyān ||;
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 17: 1;11 1;athāpi lopasaṁśaye lopād alopo nyāyataraḥ iti |;
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 18: 2;1 1;ahatena adhareṇottarīyeṇa ca ||;
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 18: 2;2 1;brahmopaveśanāntaṁ kṛtvā vadhūṁ dakṣiṇato |;
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 18: 2;3 1;patiriti bharturabhāve pālanādhikṛtaniyamārtham ||;
Khādiragṛhyasūtrarudraskandavyākhyā zu KhGṛS, 2, 2, 18: 2;4 1;bharturanyaḥ kurvan praṇīte laukike vā kuryāt ||;
