KāvyAl, 1: 1;1 1;praṇamya sārvaṃ sarvajñaṃ manovākkāyakarmabhiḥ |;
KāvyAl, 1: 1;1 2;kāvyālaṃkāra ityeṣa yathābuddhi vidhāsyate ||;
KāvyAl, 1: 1;2 1;dharmārthakāmamokṣeṣu vaicakṣaṇyaṃ kalāsu ca |;
KāvyAl, 1: 1;2 2;prītiṃ karoti kīrtiṃ ca sādhukāvyanibandhanam ||;
KāvyAl, 1: 1;3 1;adhanasyeva dātṛtvaṃ klībasyevāstrakauśalam |;
KāvyAl, 1: 1;3 2;ajñasyeva pragalbhatvam akaveḥ śāstravedanam ||;
KāvyAl, 1: 1;4 1;vinayena vinā kā śrīḥ kā niśā śaśinā vinā |;"Vetālapañcaviṃśatikā" VetPV, 1: 1 61 1;vinayena vinā kā śrīḥ kā niśā śaśinā vinā |;GOOD;;
KāvyAl, 1: 1;4 2;rahitā satkavitvena kīdṛśī vāgvidagdhatā ||;"Vetālapañcaviṃśatikā" VetPV, 1: 1 61 2;rahitā satkavitvena kīdṛśī vāgvidagdhatā ||;GOOD;;
KāvyAl, 1: 1;5 1;gurūpadeśādadhyetuṃ śāstraṃ jaḍadhiyo .pyalam |;
KāvyAl, 1: 1;5 2;kāvyaṃ tu jāyate jātu kasyacit pratibhāvataḥ ||;
KāvyAl, 1: 1;6 1;upeyuṣāmapi divaṃ saṃnibandhavidhāyinām |;
KāvyAl, 1: 1;6 2;āsta eva nirātaṅkaṃ kāntaṃ kāvyamayaṃ vapuḥ ||;
KāvyAl, 1: 1;7 1;ruṇaddhi rodasī cāsya yāvat kīrtir anaśvarī |;
KāvyAl, 1: 1;7 2;tāvat kilāyam adhyāste sukṛtī vaibudhaṃ padam ||;
KāvyAl, 1: 1;8 1;ato .bhivāñchatā kīrtiṃ stheyasīm ā bhuvaḥ sthiteḥ |;
KāvyAl, 1: 1;8 2;yatno viditavedyena vidheyaḥ kāvyalakṣaṇaḥ ||;
KāvyAl, 1: 1;9 1;śabdaśchando.bhidhānārthā itihāsāśrayāḥ kathāḥ |;
KāvyAl, 1: 1;9 2;loko yuktiḥ kalāśceti mantavyāḥ kāvyayairvaśī ||;
KāvyAl, 1: 1;10 1;śabdābhidheye vijñāya kṛtvā tadvidupāsanām |;
KāvyAl, 1: 1;10 2;vilokyānyanibandhāṃśca kāryaḥ kāvyakriyādaraḥ ||;
KāvyAl, 1: 1;11 1;sarvathā padamapyekaṃ na nigādyam avadyavat |;
KāvyAl, 1: 1;11 2;vilakṣmaṇā hi kāvyena duḥsuteneva nindyate ||;
KāvyAl, 1: 1;12 1;akavitvamadharmāya vyādhaye daṇḍanāya vā |;
KāvyAl, 1: 1;12 2;kukavitvaṃ punaḥ sākṣānmṛtimāhurmanīṣiṇaḥ ||;
KāvyAl, 1: 1;13 1;rūpakādiralaṃkāras tasyānyair bahudhoditaḥ |;
KāvyAl, 1: 1;13 2;na kāntamapi nirbhūṣaṃ vibhāti vanitāmukham ||;
KāvyAl, 1: 1;14 1;rūpakādim alaṃkāraṃ bāhyamācakṣate pare |;
KāvyAl, 1: 1;14 2;supāṃ tiṅāṃ ca vyutpattiṃ vācāṃ vāñchantyalaṃkṛtim ||;
KāvyAl, 1: 1;15 1;tadetadāhuḥ sauśabdyaṃ nārthavyutpattirīdṛśī |;
KāvyAl, 1: 1;15 2;śabdābhidheyālaṃkārabhedād iṣṭaṃ dvayaṃ tu naḥ ||;
KāvyAl, 1: 1;16 1;śabdārthau sahitau kāvyaṃ gadyaṃ padyaṃ ca taddvidhā |;
KāvyAl, 1: 1;16 2;saṃskṛtaṃ prākṛtaṃ cānyadapabhraṃśa iti tridhā ||;
KāvyAl, 1: 1;17 1;vṛttadevādicaritaśaṃsi cotpādyavastu ca |;
KāvyAl, 1: 1;17 2;kalāśāstrāśrayaṃ ceti caturdhā bhidyate punaḥ ||;
KāvyAl, 1: 1;18 1;sargabandho .bhineyārthaṃ tathaivākhyāyikākathe |;
KāvyAl, 1: 1;18 2;anibaddhaṃ ca kāvyādi tatpunaḥ pañcadhocyate ||;
KāvyAl, 1: 1;19 1;sargabandho mahākāvyaṃ mahatāṃ ca mahacca yat |;
KāvyAl, 1: 1;19 2;agrāmyaśabdamarthyaṃ ca sālaṃkāraṃ sadāśrayam ||;
KāvyAl, 1: 1;20 1;mantradūtaprayāṇājināyakābhyudayaiśca yat |;"Kāvyādarśa" KāvĀ, 1: 1 17 2;mantradūtaprayāṇājināyakābhyudayair api ||;PARTLY;+ api - ca;
KāvyAl, 1: 1;20 2;pañcabhiḥ saṃdhibhiryuktaṃ nātivyākhyeyam ṛddhimat ||;
KāvyAl, 1: 1;21 1;caturvargābhidhāne.pi bhūyasārthopadeśakṛt |;
KāvyAl, 1: 1;21 2;yuktaṃ lokasvabhāvena rasaiśca sakalaiḥ pṛthak ||;
KāvyAl, 1: 1;22 1;nāyakaṃ prāgupanyasya vaṃśavīryaśrutādibhiḥ |;
KāvyAl, 1: 1;22 2;na tasyaiva vadhaṃ brūyād anyotkarṣābhidhitsayā ||;
KāvyAl, 1: 1;23 1;yadi kāvyaśarīrasya na sa vyāpitayeṣyate |;
KāvyAl, 1: 1;23 2;na cābhyudayabhāktasya mudhādau grahaṇastavau ||;
KāvyAl, 1: 1;24 1;nāṭakaṃ dvipadīśamyārāsakaskandhakādi yat |;
KāvyAl, 1: 1;24 2;uktaṃ tadabhineyārthamukto .nyaistasya vistaraḥ ||;
KāvyAl, 1: 1;25 1;prakṛtānākulaśravyaśabdārthapadavṛttinā |;
KāvyAl, 1: 1;25 2;gadyena yuktodāttārthā socchvāsākhyāyikā matā ||;
KāvyAl, 1: 1;26 1;vṛttam ākhyāyate tasyāṃ nāyakena svaceṣṭitam |;
KāvyAl, 1: 1;26 2;vaktraṃ cāparavaktraṃ ca kāle bhāvyārthaśaṃsi ca ||;
KāvyAl, 1: 1;27 1;kaverabhiprāyakṛtaiḥ kathānaiḥ kaiścidaṅkitā |;
KāvyAl, 1: 1;27 2;kanyāharaṇasaṃgrāmavipralambhodayānvitā ||;
KāvyAl, 1: 1;28 1;na vaktrāparavaktrābhyāṃ yuktā nocchvāsavatyapi |;
KāvyAl, 1: 1;28 2;saṃskṛtaṃ saṃskṛtā ceṣṭā kathāpabhraṃśabhāktathā ||;
KāvyAl, 1: 1;29 1;anyaiḥ svacaritaṃ tasyāṃ nāyakena tu nocyate |;
KāvyAl, 1: 1;29 2;svaguṇāviṣkṛtiṃ kuryādabhijātaḥ kathaṃ janaḥ ||;
KāvyAl, 1: 1;30 1;anibaddhaṃ punargāthāślokamātrādi tat punaḥ |;
KāvyAl, 1: 1;30 2;yuktaṃ vakrasvabhāvoktyā sarvamevaitadiṣyate ||;
KāvyAl, 1: 1;31 1;vaidarbhamanyad astīti manyante sudhiyo .pare |;
KāvyAl, 1: 1;31 2;tadeva ca kila jyāyaḥ sadarthamapi nāparam ||;
KāvyAl, 1: 1;32 1;gauḍīyamidametattu vaidarbhamiti kiṃ pṛthak |;
KāvyAl, 1: 1;32 2;gatānugatikanyāyānnānākhyeyam amedhasām ||;
KāvyAl, 1: 1;33 1;nanu cāśmakavaṃśādi vaidarbhamiti kathyate |;
KāvyAl, 1: 1;33 2;kāmaṃ tathāstu prāyeṇa saṃjñecchāto vidhīyate ||;
KāvyAl, 1: 1;34 1;apuṣṭārtham avakrokti prasannamṛju komalam |;
KāvyAl, 1: 1;34 2;bhinnaṃ geyamivedaṃ tu kevalaṃ śrutipeśalam ||;
KāvyAl, 1: 1;35 1;alaṃkāravad agrāmyamarthyaṃ nyāyyamanākulam |;
KāvyAl, 1: 1;35 2;gauḍīyamapi sādhīyo vaidarbhamiti nānyathā ||;
KāvyAl, 1: 1;36 1;na nitāntādimātreṇa jāyate cārutā girām |;
KāvyAl, 1: 1;36 2;vakrābhidheyaśabdoktir iṣṭā vācām alaṃkṛtiḥ ||;
KāvyAl, 1: 1;37 1;neyārthaṃ kliṣṭam anyārtham avācakam ayuktimat |;
KāvyAl, 1: 1;37 2;gūḍhaśabdābhidhānaṃ ca kavayo na prayuñjate ||;
KāvyAl, 1: 1;38 1;neyārthaṃ nīyate yukto yasyārthaḥ kṛtibhirbalāt |;
KāvyAl, 1: 1;38 2;śabdanyāyānupārūḍhaḥ kathaṃcit svābhisaṃdhinā ||;
KāvyAl, 1: 1;39 1;māyeva bhadreti yathā sā cāsādhvī prakalpanā |;
KāvyAl, 1: 1;39 2;veṇukāderiti ca tānniyanti vacanādvinā ||;
KāvyAl, 1: 1;40 1;kliṣṭaṃ vyavahitaṃ vidyādanyārthavigame yathā |;
KāvyAl, 1: 1;40 2;vijahrustasya tāḥ śokaṃ krīḍāyāṃ vikṛtaṃ ca tat ||;
KāvyAl, 1: 1;41 1;himāpahāmitradharair vyāptaṃ vyometyavācakam |;
KāvyAl, 1: 1;41 2;sākṣād arūḍhaṃ vācye .rthe nābhidhānaṃ pratīyate ||;
KāvyAl, 1: 1;42 1;ayuktimadyathā dūtā jalabhṛnmārutendavaḥ |;
KāvyAl, 1: 1;42 2;tathā bhramarahārītacakravākaśukādayaḥ ||;
KāvyAl, 1: 1;43 1;avāco vyaktavācaśca dūradeśavicāriṇaḥ |;
KāvyAl, 1: 1;43 2;kathaṃ dūtyaṃ prapadyeranniti yuktyā na yujyate ||;
KāvyAl, 1: 1;44 1;yadi cotkaṇṭhayā yattadunmatta iva bhāṣate |;
KāvyAl, 1: 1;44 2;tathā bhavatu bhūmnedaṃ sumedhobhiḥ prayujyate ||;
KāvyAl, 1: 1;45 1;gūḍhaśabdābhidhānaṃ ca na prayojyaṃ kathaṃcana |;
KāvyAl, 1: 1;45 2;sudhiyāmapi naivedamupakārāya kalpate ||;"Śukasaptati" Śusa, 2: 2 3 16;anayā tu naiva |;PARTLY;+ tu - upakāra;
KāvyAl, 1: 1;46 1;asitartitugadricchit svaḥkṣitāṃ patir advidṛk |;"Pañcārthabhāṣya" PABh zu PāśupSūtra, 1, 1: 1 42 1;patiḥ kasmāt |;PARTLY;+ kasmāt - svar;"Pañcārthabhāṣya" PABh zu PāśupSūtra, 2, 5: 50 40 0;patyur bhavati ||;PARTLY;+ bhū - svar;"Pañcārthabhāṣya" PABh zu PāśupSūtra, 5, 43: 165 11 0;patyuḥ patiḥ adhipatiḥ ||;PARTLY;+ adhipati - svar;"Liṅgapurāṇa" LiPur, 2, 45: 153 69 1;svaḥ svāhā ||;PARTLY;+ svāhā - kṣit;"Jaiminigṛhyasūtra" JaimGṛS, 1: 1 4 15;svaḥ svāhā |;PARTLY;+ svāhā - kṣit;"Kāmasūtra" KāSū, 5, 1: 23 11 2;patyāvanurāgaḥ |;PARTLY;+ anurāga - svar;"Aṣṭādhyāyī" Aṣṭādhyāyī, 6, 2: 22 18 0;patyāv aiśvarye ||;PARTLY;+ aiśvarya - svar;"Bṛhadāraṇyakopaniṣad" BĀU, 6, 3: 45 6 13;svaḥ svāhā |;PARTLY;+ svāhā - kṣit;
KāvyAl, 1: 1;46 2;amidbhiḥ śubhradṛgdṛṣṭairdviṣo jeghnīyiṣīṣṭa vaḥ ||;
KāvyAl, 1: 1;47 1;śrutiduṣṭārthaduṣṭe ca kalpanāduṣṭam ityapi |;
KāvyAl, 1: 1;47 2;śrutikaṣṭaṃ tathaivāhurvācāṃ doṣaṃ caturvidham ||;
KāvyAl, 1: 1;48 1;viḍvarcoviṣṭhitaklinnachinnavāntapravṛttayaḥ |;
KāvyAl, 1: 1;48 2;pracāradharṣitodgāravisargahadayantritāḥ ||;
KāvyAl, 1: 1;49 1;hiraṇyaretāḥ sambādhaḥ pelavopasthitāṇḍajāḥ |;
KāvyAl, 1: 1;49 2;vākkāṭavādayaśceti śrutiduṣṭā matā giraḥ ||;
KāvyAl, 1: 1;50 1;arthaduṣṭaṃ punarjñeyaṃ yatrokte jāyate matiḥ |;
KāvyAl, 1: 1;50 2;asabhyavastuviṣayā śabdaistadvācibhiryathā ||;
KāvyAl, 1: 1;51 1;hantumeva pravṛttasya stabdhasya vivaraiṣiṇaḥ |;
KāvyAl, 1: 1;51 2;patanaṃ jāyate.vaśyaṃ kṛcchreṇa punarunnatiḥ ||;
KāvyAl, 1: 1;52 1;padadvayasya saṃdhāne yadaniṣṭaṃ prakalpate |;
KāvyAl, 1: 1;52 2;tadāhuḥ kalpanāduṣṭaṃ saśauryābharaṇo yathā ||;
KāvyAl, 1: 1;53 1;yathājihladadityādi śrutikaṣṭaṃ ca tadviduḥ |;
KāvyAl, 1: 1;53 2;na tadicchanti kṛtino gaṇḍamapyapare kila ||;
KāvyAl, 1: 1;54 1;saṃniveśaviśeṣāttu duruktamapi śobhate |;
KāvyAl, 1: 1;54 2;nīlaṃ palāśamābaddhamantarāle srajāmiva ||;
KāvyAl, 1: 1;55 1;kiṃcidāśrayasaundaryād dhatte śobhāmasādhvapi |;
KāvyAl, 1: 1;55 2;kāntāvilocananyastaṃ malīmasamivāñjanam ||;
KāvyAl, 1: 1;56 1;āpāṇḍugaṇḍametatte vadanaṃ vanajekṣaṇe |;
KāvyAl, 1: 1;56 2;saṅgamātpāṇḍuśabdasya gaṇḍaḥ sādhu yathoditam ||;
KāvyAl, 1: 1;57 1;anayānyadapi jñeyaṃ diśā yuktam asādhvapi |;
KāvyAl, 1: 1;57 2;yathā viklinnagaṇḍānāṃ kariṇāṃ madavāribhiḥ ||;
KāvyAl, 1: 1;58 1;madaklinnakapolānāṃ dviradānāṃ catuḥśatī |;
KāvyAl, 1: 1;58 2;yathā tadvad asādhīyaḥ sādhīyaśca prayojayet ||;
KāvyAl, 1: 1;59 1;etad grāhyaṃ surabhi kusumaṃ grāmyametannidheyaṃ dhatte śobhāṃ viracitamidaṃ sthānamasyaitadasya |;
KāvyAl, 1: 1;59 2;mālākāro racayati yathā sādhu vijñāya mālāṃ yojyaṃ kāvyeṣvavahitadhiyā tadvad evābhidhānam ||;
KāvyAl, 2: 2;1 1;mādhuryamabhivāñchantaḥ prasādaṃ ca sumedhasaḥ |;
KāvyAl, 2: 2;1 2;samāsavanti bhūyāṃsi na padāni prayuñjate ||;
