lemma_iast	lemma_slp1	n1	n2	n3	n4	n5	dist_12	dist_23	dist_34	dist_45	dist_15	fshift_12	fshift_23	fshift_34	fshift_45	fshift_15	graded_rank_12	binary_changed_12
a	a	4960	5043	3117	1627	597	0.745721	0.625071	0.628771	0.717456	0.765099	0.413904	0.24568	0.635183	0.011021	1.305788	1226	0
abda	abda	17	44	107	134	67			0.75407	0.848233				0.627383	0.43539			
abhaya	aBaya	212	150	83	80	45	0.884566	0.800441	0.831666			0.936948	0.405335	0.24965			511	0
abhibhū	aBiBU	106	224	138	41	17	0.943619	0.822532				0.641588	0.250386				56	1
abhidhā	aBiDA	55	134	461	598	86	0.969981	0.791157	0.776975	0.86199	0.962986	0.846883	2.230978	0.67814	1.362347	2.393654	5	1
abhidhāna	aBiDAna	9	23	93	181	30			0.844688					1.263448				
abhigam	aBigam	37	455	62	10	11		0.834582					2.427082					
abhighāta	aBiGAta	2	51	126	22	4		0.751684					1.753299					
abhihan	aBihan	15	372	94	24	2		0.776537					1.536126					
abhiman	aBiman	27	80	73	77	18		0.883628	0.884738				0.316341	0.379723				
abhimukha	aBimuKa	48	227	149	54	27		0.787179	0.900925				0.158936	1.16152				
abhimāna	aBimAna	4	62	54	50	5		0.880318	0.857098				0.249136	0.19173				
abhinand	aBinand	5	187	95	77	9		0.831798	0.901385				0.528595	0.000308				
abhipad	aBipad	50	114	27	11	2	0.952066					0.751188					28	1
abhiprāya	aBiprAya	2	102	57	95	28		0.917204	0.901679				0.391091	1.039726				
abhipūjay	aBipUjay	5	126	59	9	5		0.827022					0.646193					
abhitap	aBitap	86	52	20	6	4	0.946872					1.163671					48	1
abhitas	aBitas	227	115	55	33	24	0.909273	0.895046				1.418905	0.615686				279	1
abhivāday	aBivAday	28	372	65	9	9		0.766096					2.068347					
abhiṣeka	aBizeka	44	148	84	55	23		0.827989	0.885092				0.368692	0.308197				
abhiṣic	aBizic	335	228	150	71	21	0.887942	0.75035	0.869776			0.992973	0.155627	0.776311			478	0
abhra	aBra	82	216	103	516	224	0.876736	0.710969	0.873135	0.568608	0.935706	0.959489	0.619943	2.627488	0.231518	3.198552	574	0
abhraka	aBraka	0	0	0	420	170				0.548953					0.130535			
abhyadhika	aByaDika	0	123	67	31	5		0.903535					0.427981					
abhyantara	aByantara	22	52	106	49	25		0.883926					1.475925					
abhyarc	aByarc	20	61	57	41	36		0.570854					0.350597					
abhyas	aByas	51	79	86	50	38	0.871136	0.877367	0.843686			0.193509	0.570928	0.479648			635	0
abhyaṅga	aByaNga	1	50	178	33	14		0.630903					2.280322					
abhyupe	aByupe	31	79	53	16	4		0.904141					0.127416					
