aṁa, aṁ a
aṁgulinavaparimāṇe, aṅguli navan parimāṇa
aṁguṣṭhāgradvayaṁ, aṅguṣṭha agra dvaya
aṁdhamūṣāgataṁ, andhamūṣā gam
aṁbarīṣaśca, ambarīṣa ca
aṁbikāpataye, ambikā pati
aṁbikāpatirīśāno, ambikā pati īśāna
aṁbusiktagṛhadvārāṁ, ambu gṛha dvāra sic
aṁbhasābhyukṣya, ambhas abhyukṣ
aṁśakalābhāgaṁ, aṁśakalā bhāga
aṁśakalābhedo, aṁśakalā bheda
aṁśakalpanā, aṁśa kalpanā
aṁśakāmā, aṁśa kāma
aṁśagrāhibhis, aṁśa grāhin
aṁśatrayam, aṁśa traya
aṁśadvayapramāṇena, aṁśa dvaya pramāṇa
aṁśadvayam, aṁśa dvaya
aṁśaprakāśād, aṁśa prakāśa
aṁśabhāgairbhavadbhistu, aṁśa bhāga bhavat tu
aṁśastasyāṁ, aṁśa tad
aṁśastu, aṁśa tu
aṁśahānir, aṁśa hāni
aṁśāṁśakā, aṁśa aṁśaka
aṁśāṁśabalavikalpo, aṁśa aṁśa bala vikalpa
aṁśāṁśās, aṁśa aṁśa
aṁśāṁśikātaḥ, aṁśa aṁśikā
aṁśāṁśikāto, aṁśa aṁśikā
aṁśāṁśenābhavat, aṁśāṁśa bhū
aṁśāṁśenāvatīryorvyāṁ, aṁśāṁśa urvī avatṛ
aṁśāṁśenodare, aṁśāṁśa udara
aṁśāntareṇa, aṁśa antara
aṁśāvatāraṁ, aṁśa avatāra
aṁśāvatārakaraṇairna, aṁśa avatāra karaṇa na
aṁśāvatārān, aṁśa avatāra
aṁśāvatāro, aṁśa avatāra
aṁśāvatīrṇo, aṁśa avatṛ
aṁśāśca, aṁśa ca
aṁśukānīva, aṁśuka iva
aṁśukāntāśca, aṁśu kānta ca
aṁśukāśyapatārkṣyāstu, aṁśu kāśyapa tārkṣya tu
aṁśujālaṁ, aṁśu jāla
aṁśujāleṣu, aṁśu jāla
aṁśujālair, aṁśu jāla
aṁśubhistīkṣṇairādāya, aṁśu tīkṣṇa ādā
aṁśumatprakhyāṁ, aṁśumat prakhyā
aṁśumadbhiśca, aṁśumat ca
aṁśumāṁścandramāścaiva, aṁśumant candramas ca eva
aṁśumānabhinirmuktābhyuditau, aṁśumant abhinirmuc abhyudi
aṁśumānsarvamukhyaḥ, aṁśumant sarva mukhya
aṁśurjajñe, aṁśu jan
aṁśuśākhāsahasreṣu, aṁśu śākhā sahasra
aṁśuśca, aṁśu ca
aṁśusahasrasya, aṁśu sahasra
aṁśenānyena, aṁśa anya
aṁśenāpyatha, aṁśa api atha
