देवनागरी	IAST	"Часть речи"	Примеры	Синонимы	Периоды/Тексты	Сочетаемость	Метка
अंकृयत्	aṁkṛyat	m.					
अंगिरस्वत्	aṁgirasvat	m.					
अंतवत्	aṁtavat	m.					
अंबुमत्	aṁbumat	m.					
अंशयत्	aṁśayat	"m.f.n. *"					
अंशवत्	aṁśavat	m.					
अंशवन्त्	aṁśavant	"m. +"	"     1"	+	2/1	+	
अंशुमन्त्	aṁśumant	"m. +"	"   116"	+	6/21	+	
अंहस्वत्	aṁhasvat	m.					
अकपीवत्	akapīvat	m.					
अकपीवन्त्	akapīvant	"m. +"					
अकर्मकृत्	akarmakṛt	m.					
अकर्म्मकृत्	akarmmakṛt	m.f.n.					
अकुत्सयन्त्	akutsayant	m.					
अकुर्वन्त्	akurvant	m.					
अकोपयन्त्	akopayant	m.					
अक्रीडत्	akrīḍat	m.f.n.					
अक्षत्	akṣat	"m. *"					
अक्षवित्	akṣavit	m.					
अक्षिणी	akṣiṇī	"f. +"					
अगच्छत्	agacchat	"adj. +"	"     5"		4/4	+	
अगज	agaja	"adj.n. +"	"     2"	+	2/2	+	
अगन्धवन्त्	agandhavant	m.					
अगृह्णन्त्	agṛhṇant	m.					
अग्नामरुत्	agnāmarut	m.					
अग्निचित्	agnicit	"m.m.f.n.adj. *"					
अग्निवित्	agnivit	m.					
अग्निष्टुत्	agniṣṭut	"m. * +"	"    10"		3/8	+	
अघोषवत्	aghoṣavat	m.					
अङ्कूयत्	aṅkūyat	m.f.n.					
अङ्गवाक्पाणिमत्	aṅgavākpāṇimat	m.f.n.					
अङ्गारकृत्	aṅgārakṛt	"m. +"					
अजगावः	ajagāvaḥ	m.					
अजरामर	ajarāmara	n.m.f.n.adv.					
अजानेय	ajāneya	m.m.f.n.adj.					
अज्ञानबन्धन	ajñānabandhana	n.					
अज्ञानबन्धन	ajñānabandhana	n.					
अज्यानि	ajyāni	"f. +"	"     1"		1/1	+	
अञ्जनं	añjanaṁ	Noun					
अटनि	aṭani	"f. +"					
अटवि	aṭavi	f.					
अच्युतस्थल	acyutasthala	"n. +"	"     2"		1/1	+	
अत्	at	"Verb.cl.1.A.m. * +"	"     9"		3/4	+	
अतत्त्वार्थवत्	atattvārthavat	m.f.n.					
