Лемма	Тип	Класс	Залог	Форма	Лицо	Число	Время/наклонение	Примеры
jan	Verb	4	P.	ajījanat	Third	Sg.	"Aorist Ind. Red."	"  118"
vijñapay	Verb	10	P.	vyajijñapat	Third	Sg.	"Aorist Ind. Red."	"   26"
krand	Verb	1	Ā	acikradat	Third	Sg.	"Aorist Ind. Red."	"   19"
gam	Verb	6	Ā	ajīgamam	First	Sg.	"Aorist Ind. Red."	"   19"
dā	Verb	1	Ā	adadam	First	Sg.	"Aorist Ind. Red."	"   19"
dā	Verb	1	Ā	adadat	Third	Sg.	"Aorist Ind. Red."	"   17"
jāgṛ	Verb	2	Ā	ajīgaḥ	Third	Sg.	"Aorist Ind. Red."	"   13"
jan	Verb	4	P.	ajījanan	Third	Pl.	"Aorist Ind. Red."	"    9"
vṛdh	Verb	6	P.	avīvṛdhat	Third	Sg.	"Aorist Ind. Red."	"    9"
kṛ	Verb	2	Ā	acīkarat	Third	Sg.	"Aorist Ind. Red."	"    8"
cud	Verb	1	Ā	acūcudam	First	Sg.	"Aorist Ind. Red."	"    7"
śri	Verb	1	Ā	aśiśriyat	Third	Sg.	"Aorist Ind. Red."	"    7"
vṛdh	Verb	6	P.	avīvṛdhan	Third	Pl.	"Aorist Ind. Red."	"    7"
syand	Verb	1	Ā	asiṣyadat	Third	Sg.	"Aorist Ind. Red."	"    7"
naś	Verb	1	P.	anīnaśat	Third	Sg.	"Aorist Ind. Red."	"    7"
saṁjan	Verb	4	Ā	samajījanat	Third	Sg.	"Aorist Ind. Red."	"    7"
kﾱp	Verb	1	P.	acīkﾱpatām	Third	Du.	"Aorist Ind. Red."	"    6"
yuj	Verb	6	Ā	ayūyujat	Third	Sg.	"Aorist Ind. Red."	"    6"
ram	Verb	4	Ā	arīramat	Third	Sg.	"Aorist Ind. Red."	"    6"
abhivṛṣ	Verb	1	Ā	abhyavīvṛṣat	Third	Sg.	"Aorist Ind. Red."	"    6"
kﾱp	Verb	1	P.	acīkﾱpat	Third	Sg.	"Aorist Ind. Red."	"    5"
jan	Verb	4	P.	ajījanaḥ	Second	Sg.	"Aorist Ind. Red."	"    5"
pat	Verb	1	Ā	apaptat	Third	Sg.	"Aorist Ind. Red."	"    5"
ram	Verb	4	Ā	rīramat	Third	Sg.	"Aorist Ind. Red."	"    5"
vāś	Verb	1	Ā	avīvaśat	Third	Sg.	"Aorist Ind. Red."	"    5"
