Лемма	Класс	Форма	Лицо	Число	Время/наклонение	Примеры
saṁpraharṣay	10	saṃpraharṣayiṣyanti	Third	Pl.	"Future Ind."	"    2"
vighātay	10	vighātayet	Third	Sg.	"Pres. Potential"	"    2"
pidhā	3	pidadhāti	Third	Sg.	"Present Ind."	"    2"
pidhā	3	pidhīyate	Third	Sg.	"Present Passive"	"    2"
pidhā	3	pidadhīta	Third	Sg.	"Pres. Potential"	"    2"
pidhā	3	pidadhe	Third	Sg.	"Perfect Ind."	"    2"
mīmāṁs	0	mīmāṃseta	Third	Sg.	"Pres. Potential"	"    2"
mīmāṁs	0	mīmāṃsita			"Past Passive Participle"	"    2"
saṁdīpay	10	saṃdīpayati	Third	Sg.	"Present Ind."	"    2"
śravay	10	śravayat			"Present Ind."	"    2"
bahiṣkṛ	8	bahiṣkuryāt	Third	Sg.	"Pres. Potential"	"    2"
bahiṣkṛ	8	bahiṣkṛtya			Absolutive	"    2"
antari	2	antarāyan	Third	Pl.	"Imperfect ind"	"    2"
bahulībhū	1	bahulībhavati	Third	Sg.	"Present Ind."	"    2"
bahulībhū	1	bahulībhūta			"Past Passive Participle"	"    2"
kvaṇay	10	kvaṇayat			"Present Ind."	"    2"
saṁgṛ	9	saṃgṛṇāmi	First	Sg.	"Present Ind."	"    2"
sthirīkṛ	8	sthirīkuryāt	Third	Sg.	"Pres. Potential"	"    2"
vedhay	10	vedhayate	Third	Sg.	"Present Ind."	"    2"
antarīkṛ	8	antarīkṛta			"Past Passive Participle"	"    2"
antarīkṛ	8	antarīkṛtya			Absolutive	"    2"
abhiṣecay	10	abhiṣecaye	First	Sg.	"Present Ind."	"    2"
abhiṣecay	10	abhiṣecayasva	Second	Sg.	"Pres. Imp."	"    2"
abhiṣecay	10	abhiṣecayat	Third	Sg.	"Imperfect ind"	"    2"
abhiṣecay	10	abhiṣecayitum			Infinitive	"    2"
anuvācay	10	anuvācayet	Third	Sg.	"Pres. Potential"	"    2"
asatkṛ	8	asatkṛtya			Absolutive	"    2"
apavāray	10	apavārita			"Past Passive Participle"	"    2"
vyayīkṛ	8	vyayīkaroti	Third	Sg.	"Present Ind."	"    2"
vyayīkṛ	8	vyayīkṛta			"Past Passive Participle"	"    2"
namay	10	namayati	Third	Sg.	"Present Ind."	"    2"
namay	10	namayet	Third	Sg.	"Pres. Potential"	"    2"
namay	10	namayāmasi	First	Pl.	"Present Ind."	"    2"
unnamay	10	unnamya			"Future passive particle"	"    2"
āliṅg	1	āliliṅge	Third	Sg.	"Perfect Ind."	"    2"
āliṅg	1	āliṅgam	First	Sg.	"Imperfect ind"	"    2"
āliṅg	1	āliṅgat	Third	Sg.	"Imperfect ind"	"    2"
āliṅg	1	āliṅgat			"Present Ind."	"    2"
āliṅg	1	āliṅgyamāna			"Present Passive"	"    2"
āliṅg	1	āliṅgitum			Infinitive	"    2"
vañcay	10	vañcaya	Second	Sg.	"Pres. Imp."	"    2"
vañcay	10	vañcayitum			Infinitive	"    2"
vañcay	10	vañcitavya			"Future passive particle"	"    2"
jigīṣ	0	jigīṣasi	Second	Sg.	"Present Ind."	"    2"
jigīṣ	0	jigīṣanti	Third	Pl.	"Present Ind."	"    2"
jigīṣ	0	jigīṣase	Second	Sg.	"Present Ind."	"    2"
jigīṣ	0	jigīṣet	Third	Sg.	"Pres. Potential"	"    2"
samavasthā	1	samavātiṣṭhata	Third	Sg.	"Imperfect ind"	"    2"
samavasthā	1	samavasthāya			Absolutive	"    2"
prāduṣkṛ	8	prāduścakruḥ	Third	Pl.	"Perfect Ind."	"    2"
prāduṣkṛ	8	prāduṣkṛtya			Absolutive	"    2"
ājñapay	10	ājñapya			Absolutive	"    2"
jijñās	0	jijñāsitum			Infinitive	"    2"
prayāpay	10	prayāpya			Absolutive	"    2"
saṁprakāśay	10	saṃprakāśayate	Third	Sg.	"Present Ind."	"    2"
vidṛ	4	vidīryase	Second	Sg.	"Present Passive"	"    2"
vidṛ	4	vidīryet	Third	Sg.	"Pres. Potential"	"    2"
saṁmānay	10	saṃmānayati	Third	Sg.	"Present Ind."	"    2"
saṁmānay	10	saṃmānya			"Future passive particle"	"    2"
uḍḍīy	0	uḍḍīyethāḥ	Second	Sg.	"Pres. Potential"	"    2"
samākuñc	6	samākuñcya			Absolutive	"    2"
saṁmil	6	saṃmilati	Third	Sg.	"Present Ind."	"    2"
saṁmil	6	saṃmiliti	Third	Sg.	"Present Ind."	"    2"
saṁmil	6	saṃmilat			"Present Ind."	"    2"
avalag	1	avalagna			"Past Passive Participle"	"    2"
bhraṁśay	10	bhraṃśayati	Third	Sg.	"Present Ind."	"    2"
bhraṁśay	10	bhraṃśayiṣyāmi	First	Sg.	"Future Ind."	"    2"
bhraṁśay	10	bhraṃśayiṣyasi	Second	Sg.	"Future Ind."	"    2"
bhraṁśay	10	bhraṃśayiṣyati	Third	Sg.	"Future Ind."	"    2"
upaśikṣ	6	upaśikṣasva	Second	Sg.	"Pres. Imp."	"    2"
ārohay	10	ārohayaḥ	Second	Sg.	"Imperfect ind"	"    2"
ārohay	10	ārohayat	Third	Sg.	"Imperfect ind"	"    2"
ārohay	10	ārohya			Absolutive	"    2"
prekṣay	10	prekṣayet	Third	Sg.	"Pres. Potential"	"    2"
dakṣiṇīkṛ	8	dakṣiṇīkṛtya			Absolutive	"    2"
kajjalīkṛ	8	kajjalīkṛtya			Absolutive	"    2"
dūrībhū	1	dūrībhavat			"Present Ind."	"    2"
didṛkṣ	0	didṛkṣante	Third	Pl.	"Present Ind."	"    2"
didṛkṣ	0	didṛkṣati	Third	Sg.	"Present Ind."	"    2"
pariśīlay	0	pariśīlayet	Third	Sg.	"Pres. Potential"	"    2"
anuśīlay	0	anuśīlayat			"Present Ind."	"    2"
gūhay	10	gūhayat			"Present Ind."	"    2"
saṁpācay	10	saṃpācya			Absolutive	"    2"
sukhāy	0	sukhāyate	Third	Sg.	"Present Ind."	"    2"
sukhāy	0	sukhāyamāna			"Present Ind."	"    2"
parighaṭ	1	parighaṭita			"Past Passive Participle"	"    2"
anupraveśay	10	anupraveśayitum			Infinitive	"    2"
viṣayīkṛ	8	viṣayīkartum			Infinitive	"    2"
sabhājay	0	sabhājayitvā			Absolutive	"    2"
āmarday	10	āmardya			Absolutive	"    2"
śithilībhū	1	śithilībhavati	Third	Sg.	"Present Ind."	"    2"
saṁvid	6	saṃvindate	Third	Sg.	"Present Ind."	"    2"
sthirībhū	1	sthirībhavata	Second	Pl.	"Pres. Imp."	"    2"
pravaṇīkṛ	8	pravaṇīkṛta			"Past Passive Participle"	"    2"
nirjñā	9	nirjñāta			"Past Passive Participle"	"    2"
supeṣay	10	supeṣayet	Third	Sg.	"Pres. Potential"	"    2"
vipeṣay	10	vipeṣayet	Third	Sg.	"Pres. Potential"	"    2"
udghoṣay	10	udghoṣayitum			Infinitive	"    2"
katth	1	katthitum			Infinitive	"    2"
niṣedhay	10	niṣedhayati	Third	Sg.	"Present Ind."	"    2"
āghoṣay	10	āghoṣayat			"Present Ind."	"    2"
āghoṣay	10	āghoṣita			"Past Passive Participle"	"    2"
ākāray	10	ākārayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    2"
vikampay	10	vyakampayat	Third	Sg.	"Imperfect ind"	"    2"
kapilīkṛ	8	kapilīkṛta			"Past Passive Participle"	"    2"
samudbhid	7	samudbhinna			"Past Passive Participle"	"    2"
upanāday	10	upanādita			"Past Passive Participle"	"    2"
samāśvāsay	10	samāśvāsyamāna			"Present Passive"	"    2"
atigā	3	atigāt	Third	Sg.	"Aorist Ind. Root."	"    2"
dits	0	ditsāmi	First	Sg.	"Present Ind."	"    2"
dits	0	ditsa	Second	Sg.	"Pres. Imp."	"    2"
abhisamman	4	abhisaṃmata			"Past Passive Participle"	"    2"
saṁniśāmay	10	saṃniśāmya			Absolutive	"    2"
parivāray	10	parivāraya	Second	Sg.	"Pres. Imp."	"    2"
parivāray	10	parivāryate	Third	Sg.	"Present Passive"	"    2"
parivāray	10	paryavāryata	Third	Sg.	"Imperfect Ind. Passive "	"    2"
lālapy	0	lālapyate	Third	Sg.	"Present Ind."	"    2"
pariveṣay	10	pariveṣayet	Third	Sg.	"Pres. Potential"	"    2"
pariveṣay	10	pariveṣayitum			Infinitive	"    2"
jalpay	10	jalpaya	Second	Sg.	"Pres. Imp."	"    2"
kathāpay	0	kathāpaya	Second	Sg.	"Pres. Imp."	"    2"
abhirocay	10	abhirocaya	Second	Sg.	"Pres. Imp."	"    2"
abhitarpay	10	abhitarpita			"Past Passive Participle"	"    2"
abhiprasāday	10	abhiprasādita			"Past Passive Participle"	"    2"
saṁvah	1	saṃvahanti	Third	Pl.	"Present Ind."	"    2"
saṁvah	1	samūḍha			"Past Passive Participle"	"    2"
saṁvah	1	samuhya			Absolutive	"    2"
saṁvah	1	samuhyamāna			"Present Passive"	"    2"
saṁlepay	10	saṃlepya			Absolutive	"    2"
vinirvṛt	1	vinirvartate	Third	Sg.	"Present Ind."	"    2"
pratyarcay	10	pratyarcayāmāsa	Third	Sg.	"Perfect Ind. Peri."	"    2"
pratyarcay	10	pratyarcita			"Past Passive Participle"	"    2"
vimūrch	1	vimūrchati	Third	Sg.	"Present Ind."	"    2"
abhyanujñāpay	10	abhyanujñāpayiṣyat			"Future Ind."	"    2"
vikatth	1	vikatthante	Third	Pl.	"Present Ind."	"    2"
vikatth	1	vikatthitum			Infinitive	"    2"
viṣāday	10	viṣādayasi	Second	Sg.	"Present Ind."	"    2"
viṣāday	10	viṣādayitvā			Absolutive	"    2"
paridhṛ	1	paridhṛta			"Past Passive Participle"	"    2"
abhiprārthay	0	abhiprārthita			"Past Passive Participle"	"    2"
viveṣṭ	1	vyaveṣṭanta	Third	Pl.	"Imperfect ind"	"    2"
viveṣṭ	1	viveṣṭya			Absolutive	"    2"
nikālay	10	nikālaya	Second	Sg.	"Pres. Imp."	"    2"
nikal	1	nikala	Second	Sg.	"Pres. Imp."	"    2"
utpātay	10	utpātya			Absolutive	"    2"
saṁpradāpay	10	saṃpradāpayet	Third	Sg.	"Pres. Potential"	"    2"
dravīkṛ	8	dravīkuryuḥ	Third	Pl.	"Pres. Potential"	"    2"
viśaday	0	viśadayati	Third	Sg.	"Present Ind."	"    2"
yamay	10	yamita			"Past Passive Participle"	"    2"
niyamay	10	niyamayati	Third	Sg.	"Present Ind."	"    2"
niyamay	10	niyamayet	Third	Sg.	"Pres. Potential"	"    2"
samupakalpay	10	samupakalpita			"Past Passive Participle"	"    2"
nirmalīkṛ	8	nirmalīkṛtya			Absolutive	"    2"
