Корень	Слабая ступень	Гуна	Вриддхи
akṣ	1	1	0
aghāy	1	0	0
aṭ	1	1	0
aj	1	1	0
añc	1	1	0
añcay	1	0	0
añj	1	1	0
añjay	1	0	0
at	1	1	0
ad	1	1	0
an	1	1	0
arc	1	1	0
arcay	1	0	0
arjay	1	0	0
arth	1	0	0
arthay	1	0	0
arday	1	0	0
ardhay	1	0	0
arpay	1	0	0
arh	1	1	0
arhay	1	0	0
av	1	1	1
aś	1	1	0
as	1	1	0
asūy	1	0	0
ah	1	1	0
ākulay	1	0	0
āday	1	0	0
āp	1	1	0
āpay	1	0	0
āyay	1	0	0
āśay	1	0	0
ās	1	1	0
āsay	1	0	0
i	1	1	1
iṅgay	1	0	0
indh	1	1	0
indhay	1	0	0
ilay	1	0	0
iṣ	1	1	0
iṣay	1	0	0
īkṣ	1	0	0
īkṣay	1	0	0
īḍ	1	0	0
īps	1	0	0
īpsay	1	0	0
īr	1	0	0
īray	1	0	0
īrts	1	0	0
īrṣy	1	0	0
īṣ	1	0	0
īś	1	0	0
īh	1	0	0
ukṣ	1	0	0
ukṣay	1	0	0
uc	1	0	0
ujh	1	0	0
uñch	1	0	0
utsukay	1	0	0
und	1	0	0
ubj	1	0	0
ubh	1	1	0
uṣ	1	0	0
ūh	1	1	0
ūhay	1	0	0
ṛch	1	1	1
ṛj	1	1	0
ṛdh	1	1	0
ṛṣ	1	0	0
edh	1	0	0
edhay	1	0	0
eṣay	1	0	0
kaṭṭay	1	0	0
kac	1	0	0
katth	1	0	0
kath	1	0	0
kathay	1	0	0
kan	1	1	1
kanikrad	1	0	0
kam	1	1	0
kamp	1	0	0
kampay	1	0	0
karikṛ	1	0	0
karṇay	1	0	0
kartay	1	0	0
karṣay	1	0	0
karśay	1	0	0
kal	1	0	0
kalay	1	0	0
kalpay	1	0	0
kaṣ	1	0	0
kāṅkṣ	1	1	0
kāmay	1	0	0
kāray	1	0	0
kālay	1	0	0
kāś	1	0	0
kās	1	0	0
kīrtay	1	0	0
kīlay	1	0	0
kuṭ	1	0	0
kuṭṭay	1	0	0
kuṇṭhay	1	0	0
kuñc	1	0	0
kuñcay	1	0	0
kutsay	1	0	0
kup	1	1	0
kuṣ	1	0	0
kūj	1	0	0
kūrd	1	0	0
kūlay	1	0	0
kṛ	1	1	1
kṛt	1	1	0
kṛntay	1	0	0
kṛp	1	1	0
kṛpāy	1	0	0
kṛṣ	1	1	0
kṛś	1	1	0
kopay	1	0	0
krand	1	1	0
kranday	1	0	0
kram	1	1	1
kramay	1	0	0
krāmay	1	0	0
krī	1	1	1
krīḍ	1	1	0
krīḍay	1	0	0
krudh	1	1	0
kruś	1	1	0
klam	1	1	0
klid	1	1	0
kliś	1	1	0
kleday	1	0	0
kleśay	1	0	0
kvaṇ	1	0	0
kvath	1	0	0
kvāthay	1	0	0
kṣan	1	0	0
kṣap	1	0	0
kṣapay	1	0	0
kṣam	1	1	0
kṣar	1	1	0
kṣāray	1	0	0
kṣālay	1	0	0
kṣi	1	1	1
kṣip	1	1	0
kṣu	1	1	0
kṣud	1	1	0
kṣudh	1	1	0
kṣubh	1	1	0
kṣepay	1	0	0
kṣoday	1	0	0
kṣobhay	1	0	0
kṣveḍay	1	0	0
khaṇḍay	1	0	0
khan	1	1	1
khād	1	1	0
khānay	1	0	0
khid	1	1	0
khud	1	0	0
kheday	1	0	0
khyā	1	1	1
khyāpay	1	0	0
gaṇay	1	0	0
gad	1	1	0
gam	1	1	1
gamay	1	0	0
garj	1	1	0
garh	1	1	0
garhay	1	0	0
gal	1	1	0
gaveṣ	1	0	0
gā	1	1	1
gāpay	1	0	0
gālay	1	0	0
gāh	1	1	0
guṇay	1	0	0
guṇṭhay	1	0	0
guñj	1	0	0
gup	1	1	1
gur	1	1	0
guh	1	1	0
gūhay	1	0	0
gṛ	1	1	0
gṛdh	1	1	0
gopay	1	0	0
grathay	1	0	0
granth	1	1	0
gras	1	1	0
grah	1	1	1
grāhay	1	0	0
glā	1	1	0
glāpay	1	0	0
ghaṭ	1	1	0
ghaṭay	1	0	0
ghaṭṭ	1	0	0
ghaṭṭay	1	0	0
gharṣay	1	0	0
ghas	1	1	0
ghāṭay	1	0	0
ghātay	1	0	0
ghuṣ	1	1	0
ghūrṇ	1	1	0
ghṛ	1	0	0
ghṛṣ	1	1	0
ghoṣay	1	0	0
ghrā	1	1	0
ḍhālay	1	0	0
ḍhaukay	1	0	0
cak	1	0	0
cakṣ	1	0	0
caṅkram	1	0	0
caṭ	1	0	0
car	1	1	1
carcay	1	0	0
carv	1	0	0
cal	1	1	0
calay	1	0	0
cākaś	1	0	0
cāy	1	0	0
cāray	1	0	0
cālay	1	0	0
ci	1	1	1
cikits	1	0	0
cikīrṣ	1	0	0
cikrīṣ	1	0	0
cicīṣ	1	0	0
cit	1	1	0
citrīy	1	0	0
cintay	1	0	0
ciray	1	0	0
cihnay	1	0	0
cud	1	1	0
cumb	1	1	0
cūrṇay	1	0	0
cūṣ	1	0	0
cṛt	1	0	0
cetay	1	1	0
ceṣṭ	1	0	0
ceṣṭay	1	0	0
coday	1	0	0
cyāvay	1	0	0
cyu	1	1	0
cyotay	1	0	0
chad	1	0	0
chanday	1	0	0
charday	1	0	0
chal	1	0	0
chalay	1	0	0
chā	1	0	0
chāday	1	0	0
chid	1	1	1
cheday	1	0	0
jakṣ	1	0	0
jaṅgah	1	0	0
jaṅghan	1	0	0
jan	1	1	1
janay	1	0	0
jap	1	1	1
jaray	1	1	0
jargur	1	0	0
jarbhur	1	0	0
jalp	1	1	0
jas	1	0	0
jāgaray	1	0	0
jāgṛ	1	1	0
jāpay	1	0	0
jāray	1	0	0
ji	1	1	1
jigamiṣ	1	0	0
jigīṣ	1	0	0
jighāṁs	1	0	0
jighṛkṣay	1	0	0
jijīviṣ	1	0	0
jijñās	1	0	0
jinv	1	0	0
jihīrṣ	1	0	0
jīv	1	1	0
jīvay	1	0	0
jugups	1	0	0
juṣ	1	1	0
juhūṣ	1	0	0
jū	1	0	0
jūrv	1	0	0
jṛ	1	1	0
jṛmbh	1	0	0
jeh	1	0	0
johav	1	0	0
jñapay	1	0	0
jñā	1	1	1
jñāpay	1	0	0
jyotay	1	0	0
jvar	1	0	0
jval	1	1	0
jvalay	1	0	0
jvālay	1	0	0
taṁs	1	0	0
taṁsay	1	0	0
tak	1	0	0
takṣ	1	1	0
takṣay	1	0	0
tan	1	1	1
tap	1	1	1
tam	1	1	0
tamay	1	0	0
tarkay	1	0	0
tarj	1	0	0
tarjay	1	0	0
tartar	1	0	0
tarpay	1	0	0
tarṣay	1	0	0
tāḍay	1	0	0
tānay	1	0	0
tāpay	1	0	0
tāray	1	0	0
tij	1	1	0
titikṣ	1	0	0
titīrṣ	1	0	0
tuj	1	1	0
tud	1	1	0
tulay	1	0	0
tuṣ	1	1	0
tuś	1	0	0
tūrv	1	0	0
tṛ	1	1	1
tṛd	1	1	0
tṛp	1	1	0
tṛṣ	1	1	0
tejay	1	0	0
tolay	1	0	0
toṣay	1	0	0
tyaj	1	1	1
tyājay	1	0	0
trap	1	0	0
tras	1	1	0
trā	1	1	0
trāsay	1	0	0
truṭ	1	0	0
tvar	1	1	0
tvaray	1	0	0
tviṣ	1	1	0
tsar	1	0	0
daṁś	1	1	0
dagh	1	0	0
dabh	1	1	0
damay	1	0	0
dambhay	1	0	0
dardar	1	0	0
darpay	1	0	0
darśay	1	0	0
dal	1	0	0
das	1	0	0
dah	1	1	1
dā	1	1	1
dāpay	1	0	0
dāray	1	0	0
dālay	1	0	0
dāś	1	1	0
dās	1	0	0
dāhay	1	0	0
dits	1	0	0
diś	1	1	0
dih	1	1	0
dī	1	0	0
dīkṣ	1	0	0
dīdī	1	0	0
dīp	1	1	0
dīpay	1	0	0
dīv	1	1	0
du	1	1	0
duṣ	1	1	0
duh	1	1	1
dūṣay	1	0	0
dṛ	1	1	1
dṛp	1	1	0
dṛbh	1	0	0
dṛś	1	1	1
dṛh	1	1	0
