Лемма	Тип	Класс	Залог	Форма	Лицо	Число	Время/наклонение	Примеры
vac	Verb	2	P.	ukta			"Past Passive Participle"	" 7734"
kṛ	Verb	2	Ā	kṛta			"Past Passive Participle"	" 7599"
gam	Verb	6	Ā	gata			"Past Passive Participle"	" 6270"
yuj	Verb	6	Ā	yukta			"Past Passive Participle"	" 3786"
sthā	Verb	1	Ā	sthita			"Past Passive Participle"	" 3598"
smṛ	Verb	1	Ā	smṛta			"Past Passive Participle"	" 2966"
han	Verb	6	P.	hata			"Past Passive Participle"	" 2890"
jan	Verb	4	P.	jāta			"Past Passive Participle"	" 2426"
prāp	Verb	1	P.	prāpta			"Past Passive Participle"	" 2352"
āgam	Verb	6	P.	āgata			"Past Passive Participle"	" 2054"
dṛś	Verb	6	P.	dṛṣṭa			"Past Passive Participle"	" 2012"
pravac	Verb	2	P.	prokta			"Past Passive Participle"	" 1844"
bhū	Verb	1	Ā	bhūta			"Past Passive Participle"	" 1799"
mṛ	Verb	4	Ā	mṛta			"Past Passive Participle"	" 1664"
śudh	Verb	4	Ā	śuddha			"Past Passive Participle"	" 1656"
dā	Verb	1	Ā	datta			"Past Passive Participle"	" 1471"
krudh	Verb	4	Ā	kruddha			"Past Passive Participle"	" 1409"
sidh	Verb	4	Ā	siddha			"Past Passive Participle"	" 1390"
hā	Verb	1	P.	hīna			"Past Passive Participle"	" 1293"
man	Verb	8	P.	mata			"Past Passive Participle"	" 1218"
bandh	Verb	4	P.	baddha			"Past Passive Participle"	" 1200"
ji	Verb	9	P.	jita			"Past Passive Participle"	" 1176"
śru	Verb	4	P.	śruta			"Past Passive Participle"	" 1119"
saṁyuj	Verb	7	Ā	saṃyukta			"Past Passive Participle"	" 1118"
muc	Verb	6	Ā	mukta			"Past Passive Participle"	" 1116"
kathay	Verb	10	Ā	kathita			"Past Passive Participle"	" 1091"
nihan	Verb	2	Ā	nihata			"Past Passive Participle"	" 1030"
pat	Verb	1	Ā	patita			"Past Passive Participle"	" 1008"
prī	Verb	9	Ā	prīta			"Past Passive Participle"	"  926"
jṛ	Verb	6	P.	jīrṇa			"Past Passive Participle"	"  925"
pṛ	Verb	9	Ā	pūrṇa			"Past Passive Participle"	"  892"
sampad	Verb	4	P.	sampanna			"Past Passive Participle"	"  885"
bhid	Verb	6	P.	bhinna			"Past Passive Participle"	"  855"
hṛṣ	Verb	1	P.	hṛṣṭa			"Past Passive Participle"	"  849"
jan	Verb	4	P.	jāta			"Past Passive Participle"	"  843"
pūjay	Verb	10	Ā	pūjita			"Past Passive Participle"	"  825"
dīp	Verb	4	P.	dīpta			"Past Passive Participle"	"  820"
iṣ	Verb	1	P.	iṣṭa			"Past Passive Participle"	"  751"
āvṛ	Verb	5	Ā	āvṛta			"Past Passive Participle"	"  750"
vṛ	Verb	1	Ā	vṛta			"Past Passive Participle"	"  743"
vidhā	Verb	3	Ā	vihita			"Past Passive Participle"	"  740"
pracch	Verb	1	P.	pṛṣṭa			"Past Passive Participle"	"  730"
labh	Verb	1	P.	labdha			"Past Passive Participle"	"  727"
ram	Verb	4	Ā	rata			"Past Passive Participle"	"  724"
dah	Verb	2	P.	dagdha			"Past Passive Participle"	"  723"
tap	Verb	4	Ā	tapta			"Past Passive Participle"	"  703"
upe	Verb	2	Ā	upeta			"Past Passive Participle"	"  703"
śam	Verb	1	P.	śānta			"Past Passive Participle"	"  687"
kṣi	Verb	9	Ā	kṣīṇa			"Past Passive Participle"	"  664"
varjay	Verb	10	Ā	varjita			"Past Passive Participle"	"  664"
niyam	Verb	1	Ā	niyata			"Past Passive Participle"	"  661"
duṣ	Verb	4	Ā	duṣṭa			"Past Passive Participle"	"  645"
pravṛt	Verb	1	Ā	pravṛtta			"Past Passive Participle"	"  645"
chid	Verb	1	P.	chinna			"Past Passive Participle"	"  633"
naś	Verb	1	P.	naṣṭa			"Past Passive Participle"	"  633"
āśri	Verb	1	Ā	āśrita			"Past Passive Participle"	"  632"
muh	Verb	4	Ā	mūḍha			"Past Passive Participle"	"  622"
