Лемма	Тип	Класс	Залог	Форма	Лицо	Число	Время/наклонение	Примеры
kṛ	Verb	2	Ā	akāri	Third	Sg.	"Aorist Ind. Passive"	"   37"
utpad	Verb	4	P.	udapādi	Third	Sg.	"Aorist Ind. Passive"	"   36"
dhā	Verb	1	P.	dhāyi	Third	Sg.	"Aorist Ind. Passive"	"   29"
jan	Verb	4	P.	ajani	Third	Sg.	"Aorist Ind. Passive"	"   23"
dhā	Verb	1	P.	adhāyi	Third	Sg.	"Aorist Ind. Passive"	"   18"
dṛś	Verb	6	P.	adarśi	Third	Sg.	"Aorist Ind. Passive"	"   18"
yam	Verb	6	P.	ayāmi	Third	Sg.	"Aorist Ind. Passive"	"   13"
sṛj	Verb	2	P.	asarji	Third	Sg.	"Aorist Ind. Passive"	"   13"
su	Verb	6	P.	asāvi	Third	Sg.	"Aorist Ind. Passive"	"   12"
budh	Verb	1	Ā	abodhi	Third	Sg.	"Aorist Ind. Passive"	"   12"
cit	Verb	1	Ā	ceti	Third	Sg.	"Aorist Ind. Passive"	"   11"
cit	Verb	1	Ā	aceti	Third	Sg.	"Aorist Ind. Passive"	"    9"
vac	Verb	2	P.	avāci	Third	Sg.	"Aorist Ind. Passive"	"    8"
tṛ	Verb	3	P.	tāri	Third	Sg.	"Aorist Ind. Passive"	"    7"
stu	Verb	1	Ā	astāvi	Third	Sg.	"Aorist Ind. Passive"	"    7"
muc	Verb	6	Ā	moci	Third	Sg.	"Aorist Ind. Passive"	"    5"
sad	Verb	6	P.	asādi	Third	Sg.	"Aorist Ind. Passive"	"    5"
pā	Verb	1	Ā	apāyi	Third	Sg.	"Aorist Ind. Passive"	"    5"
bhaṇ	Verb	1	Ā	abhāṇi	Third	Sg.	"Aorist Ind. Passive"	"    5"
saṁjan	Verb	4	Ā	samajani	Third	Sg.	"Aorist Ind. Passive"	"    5"
sad	Verb	6	P.	sādi	Third	Sg.	"Aorist Ind. Passive"	"    4"
yuj	Verb	6	Ā	ayoji	Third	Sg.	"Aorist Ind. Passive"	"    4"
rādh	Verb	5	Ā	arādhi	Third	Sg.	"Aorist Ind. Passive"	"    4"
abhidhā	Verb	3	Ā	abhyadhāyi	Third	Sg.	"Aorist Ind. Passive"	"    4"
gam	Verb	6	Ā	agāmi	Third	Sg.	"Aorist Ind. Passive"	"    3"
jñā	Verb	4	Ā	ajñāyi	Third	Sg.	"Aorist Ind. Passive"	"    3"
vac	Verb	2	P.	vāci	Third	Sg.	"Aorist Ind. Passive"	"    3"
sthā	Verb	1	Ā	asthāyi	Third	Sg.	"Aorist Ind. Passive"	"    3"
dā	Verb	1	Ā	dāyi	Third	Sg.	"Aorist Ind. Passive"	"    3"
pad	Verb	4	P.	pādi	Third	Sg.	"Aorist Ind. Passive"	"    3"
pṛ	Verb	9	Ā	apūri	Third	Sg.	"Aorist Ind. Passive"	"    3"
śru	Verb	4	P.	aśrāvi	Third	Sg.	"Aorist Ind. Passive"	"    3"
ruc	Verb	1	P.	aroci	Third	Sg.	"Aorist Ind. Passive"	"    3"
dṛś	Verb	6	P.	darśi	Third	Sg.	"Aorist Ind. Passive"	"    3"
śṛ	Verb	9	Ā	śāri	Third	Sg.	"Aorist Ind. Passive"	"    3"
nī	Verb	2	P.	anāyi	Third	Sg.	"Aorist Ind. Passive"	"    2"
muc	Verb	6	Ā	amoci	Third	Sg.	"Aorist Ind. Passive"	"    2"
śri	Verb	1	Ā	aśrāyi	Third	Sg.	"Aorist Ind. Passive"	"    2"
pṛ	Verb	9	Ā	apāri	Third	Sg.	"Aorist Ind. Passive"	"    2"
śaṁs	Verb	2	Ā	śaṃsi	Third	Sg.	"Aorist Ind. Passive"	"    2"
sṛj	Verb	2	P.	sarji	Third	Sg.	"Aorist Ind. Passive"	"    2"
hṛ	Verb	2	P.	ahāri	Third	Sg.	"Aorist Ind. Passive"	"    2"
hu	Verb	3	Ā	ahāvi	Third	Sg.	"Aorist Ind. Passive"	"    2"
śuc	Verb	6	P.	aśoci	Third	Sg.	"Aorist Ind. Passive"	"    2"
bhāṣ	Verb	1	P.	abhāṣi	Third	Sg.	"Aorist Ind. Passive"	"    2"
bhid	Verb	6	P.	abhedi	Third	Sg.	"Aorist Ind. Passive"	"    2"
nidhā	Verb	3	Ā	nidhāyi	Third	Sg.	"Aorist Ind. Passive"	"    2"
pratipad	Verb	4	P.	pratyapādi	Third	Sg.	"Aorist Ind. Passive"	"    2"
prativad	Verb	1	Ā	pratyavādi	Third	Sg.	"Aorist Ind. Passive"	"    2"
prāp	Verb	1	P.	prāpi	Third	Sg.	"Aorist Ind. Passive"	"    2"
vyākhyā	Verb	2	Ā	vyākhyāyi	Third	Sg.	"Aorist Ind. Passive"	"    2"
kṣip	Verb	6	Ā	akṣepi	Third	Sg.	"Aorist Ind. Passive"	"    1"
gad	Verb	1	Ā	agādi	Third	Sg.	"Aorist Ind. Passive"	"    1"
gā	Verb	2	P.	agāyi	Third	Sg.	"Aorist Ind. Passive"	"    1"
gup	Verb	1	Ā	agopi	Third	Sg.	"Aorist Ind. Passive"	"    1"
grah	Verb	6	Ā	agrāhi	Third	Sg.	"Aorist Ind. Passive"	"    1"
ghuṣ	Verb	1	Ā	ghoṣi	Third	Sg.	"Aorist Ind. Passive"	"    1"
chid	Verb	1	P.	achedi	Third	Sg.	"Aorist Ind. Passive"	"    1"
chid	Verb	1	P.	chedi	Third	Sg.	"Aorist Ind. Passive"	"    1"
jan	Verb	4	P.	jani	Third	Sg.	"Aorist Ind. Passive"	"    1"
jan	Verb	4	P.	jāni	Third	Sg.	"Aorist Ind. Passive"	"    1"
tap	Verb	4	Ā	atāpi	Third	Sg.	"Aorist Ind. Passive"	"    1"
bhū	Verb	1	Ā	abhāvi	Third	Sg.	"Aorist Ind. Passive"	"    1"
vac	Verb	2	P.	avoci	Third	Sg.	"Aorist Ind. Passive"	"    1"
vad	Verb	1	Ā	avādi	Third	Sg.	"Aorist Ind. Passive"	"    1"
yuj	Verb	6	Ā	yoji	Third	Sg.	"Aorist Ind. Passive"	"    1"
vid	Verb	2	Ā	avedi	Third	Sg.	"Aorist Ind. Passive"	"    1"
vid	Verb	2	Ā	vedi	Third	Sg.	"Aorist Ind. Passive"	"    1"
dā	Verb	1	Ā	adāyi	Third	Sg.	"Aorist Ind. Passive"	"    1"
bhṛ	Verb	1	Ā	abhāri	Third	Sg.	"Aorist Ind. Passive"	"    1"
bhṛ	Verb	1	Ā	bhāri	Third	Sg.	"Aorist Ind. Passive"	"    1"
ric	Verb	7	Ā	reci	Third	Sg.	"Aorist Ind. Passive"	"    1"
ruc	Verb	1	P.	roci	Third	Sg.	"Aorist Ind. Passive"	"    1"
ativah	Verb	1	P.	atyavāhi	Third	Sg.	"Aorist Ind. Passive"	"    1"
sev	Verb	4	P.	asevi	Third	Sg.	"Aorist Ind. Passive"	"    1"
vṛh	Verb	6	Ā	varhi	Third	Sg.	"Aorist Ind. Passive"	"    1"
stṛ	Verb	5	Ā	astāri	Third	Sg.	"Aorist Ind. Passive"	"    1"
anubhū	Verb	1	Ā	anvabhāvi	Third	Sg.	"Aorist Ind. Passive"	"    1"
bhrāj	Verb	1	P.	abhrāji	Third	Sg.	"Aorist Ind. Passive"	"    1"
vid	Verb	6	Ā	avedi	Third	Sg.	"Aorist Ind. Passive"	"    1"
vṛ	Verb	1	Ā	avāri	Third	Sg.	"Aorist Ind. Passive"	"    1"
lap	Verb	4	P.	alāpi	Third	Sg.	"Aorist Ind. Passive"	"    1"
apahṛ	Verb	1	Ā	apāhāri	Third	Sg.	"Aorist Ind. Passive"	"    1"
abhijñā	Verb	9	Ā	abhijñāyi	Third	Sg.	"Aorist Ind. Passive"	"    1"
tyaj	Verb	1	Ā	atyāji	Third	Sg.	"Aorist Ind. Passive"	"    1"
vand	Verb	1	P.	vandi	Third	Sg.	"Aorist Ind. Passive"	"    1"
abhihan	Verb	4	P.	abhyaghāni	Third	Sg.	"Aorist Ind. Passive"	"    1"
daṁś	Verb	1	Ā	adaṃśi	Third	Sg.	"Aorist Ind. Passive"	"    1"
mnā	Verb	1	P.	amnāyi	Third	Sg.	"Aorist Ind. Passive"	"    1"
avāp	Verb	5	Ā	avāpi	Third	Sg.	"Aorist Ind. Passive"	"    1"
ājan	Verb	4	Ā	ājani	Third	Sg.	"Aorist Ind. Passive"	"    1"
nidhā	Verb	3	Ā	nyadhāyi	Third	Sg.	"Aorist Ind. Passive"	"    1"
nirviś	Verb	6	Ā	niraveśi	Third	Sg.	"Aorist Ind. Passive"	"    1"
niṣidh	Verb	1	P.	nyaṣedhi	Third	Sg.	"Aorist Ind. Passive"	"    1"
pratiṣṭhāpay	Verb	10	Ā	pratyaṣṭhāpi	Third	Sg.	"Aorist Ind. Passive"	"    1"
prapad	Verb	4	P.	prāpādi	Third	Sg.	"Aorist Ind. Passive"	"    1"
pravac	Verb	2	P.	prāvoci	Third	Sg.	"Aorist Ind. Passive"	"    1"
prārabh	Verb	1	Ā	prārambhi	Third	Sg.	"Aorist Ind. Passive"	"    1"
vicintay	Verb	10	Ā	vyacinti	Third	Sg.	"Aorist Ind. Passive"	"    1"
vijñāpay	Verb	10	Ā	vyajñāpi	Third	Sg.	"Aorist Ind. Passive"	"    1"
vilap	Verb	4	P.	vyalāpi	Third	Sg.	"Aorist Ind. Passive"	"    1"
visṛj	Verb	4	Ā	vyasarji	Third	Sg.	"Aorist Ind. Passive"	"    1"
saṁghaṭ	Verb	1	Ā	samaghaṭi	Third	Sg.	"Aorist Ind. Passive"	"    1"
saṁdā	Verb	4	Ā	saṃdāyi	Third	Sg.	"Aorist Ind. Passive"	"    1"
sambudh	Verb	4	P.	samabodhi	Third	Sg.	"Aorist Ind. Passive"	"    1"
jāray	Verb	10	Ā	jārayāyi	Third	Sg.	"Aorist Ind. Passive"	"    1"
