"от 1200 до 1700"	a	1946=56.03%	"от 1200 до 1700"	ā	267=7.69%	"от 1200 до 1700"	i	209=6.02%	"от 1200 до 1700"	ī	106=3.05%	"от 1200 до 1700"	u	96=2.76%	"от 1200 до 1700"	ū	17=0.49%	"от 1200 до 1700"	o	1=0.03%	"от 1200 до 1700"	e	6=0.17%	"от 1200 до 1700"	ṛ	65=1.87%	"от 1200 до 1700"	kh	1=0.03%	"от 1200 до 1700"	gh	1=0.03%	"от 1200 до 1700"	k	3=0.09%	"от 1200 до 1700"	g	1=0.03%	"от 1200 до 1700"	ṭh	1=0.03%	"от 1200 до 1700"	ṭ	4=0.12%	"от 1200 до 1700"	ḍ	1=0.03%	"от 1200 до 1700"	ṇ	1=0.03%	"от 1200 до 1700"	ch	3=0.09%	"от 1200 до 1700"	j	43=1.24%	"от 1200 до 1700"	c	25=0.72%	"от 1200 до 1700"	th	3=0.09%	"от 1200 до 1700"	dh	24=0.69%	"от 1200 до 1700"	t	54=1.55%	"от 1200 до 1700"	d	51=1.47%	"от 1200 до 1700"	n	140=4.03%	"от 1200 до 1700"	bh	9=0.26%	"от 1200 до 1700"	p	29=0.84%	"от 1200 до 1700"	b	1=0.03%	"от 1200 до 1700"	m	39=1.12%	"от 1200 до 1700"	y	150=4.32%	"от 1200 до 1700"	r	9=0.26%	"от 1200 до 1700"	l	8=0.23%	"от 1200 до 1700"	v	6=0.17%	"от 1200 до 1700"	ṣ	36=1.04%	"от 1200 до 1700"	ś	26=0.75%	"от 1200 до 1700"	s	68=1.96%	"от 1200 до 1700"	h	21=0.60%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
tva	n	0,50552	tā	f	0,34825	ādi	m	0,82789	devī	f	0,18721	śru	v	0,31976	bhū	v	0,93080	go	mf	0,07209	e	v	0,03198	kṛ	v	0,96394	likh	v	0,01512	ślāgh	v	0,00930	śak	v	0,03605	lag	v	0,01134	paṭh	v	0,02733	puṭ	v	0,01163	krīḍ	v	0,00930	bhaṇ	v	0,00698	pracch	v	0,15174	yuj	v	0,12878	vac	v	0,97789	prath	v	0,00930	bandh	v	0,09011	mahat	adj	0,29186	vad	v	0,15930	rājan	m	0,43342	labh	v	0,10785	prāp	v	0,22790	cumb	v	0,00552	gam	v	0,43691	kathay	v	0,10988	catur	nr	0,06512	mil	v	0,02994	jīv	v	0,04942	iṣ	v	0,08750	dṛś	v	0,40435	as	v	0,68923	ah	v	0,23255
artha	mn	0,40465	sthā	v	0,30087	śakti	f	0,19476	śrī	f	0,18139	guru	m	0,17732	brū	v	0,22064				upe	v	0,03110	smṛ	v	0,15029							śaṅk	v	0,01628							sphuṭ	v	0,00814							mūrch	v	0,01337	tyaj	v	0,10785	pravac	v	0,11599	math	v	0,00494	śudh	v	0,06948	pat	v	0,08982	vid	v	0,10174	ātman	m	0,36569	ārabh	v	0,01744	avāp	v	0,04855				āgam	v	0,12442	pūjay	v	0,10988	car	v	0,05669	jval	v	0,02180	div	m	0,03692	bhāṣ	v	0,07122	praviś	v	0,08256	manas	n	0,12761	grah	v	0,15756
sva	adj	0,37761	dā	v	0,29186	ityādi	adj	0,17703	strī	f	0,12209	hetu	m	0,10291	bhū	f	0,09128				abhye	v	0,02878	pitṛ	m	0,14331							āśaṅk	v	0,00930							ceṣṭ	v	0,00523							vāñch	v	0,01163	bhuj	v	0,08256	muc	v	0,10639	vyath	v	0,00494	budh	v	0,05058	jagant	n	0,08663	saṁvid	f	0,07500	jan	v	0,25087	upalabh	v	0,01686	kṣip	v	0,04826				dham	v	0,04709	darśay	v	0,08227	gir	f	0,03401	cal	v	0,01977	sev	v	0,03634	ṣaṣ	adj	0,06512	paś	v	0,07965	tapas	n	0,07732	dah	v	0,06308
rasa	mn	0,32936	yā	v	0,24505	muni	m	0,15785	nī	v	0,09099	bahu	adj	0,09855	vadhū	f	0,02907				samabhye	v	0,01163	mṛ	v	0,07645																ghaṭ	v	0,00494										vraj	v	0,06163	vāc	f	0,04564				sidh	v	0,04273	sat	adj	0,07442	bhid	v	0,06046	karman	n	0,21075	lubh	v	0,01221	āp	v	0,04419				śam	v	0,03983	cintay	v	0,05988	sphur	v	0,03052	gal	v	0,01337	dhāv	v	0,01192	rakṣ	v	0,06046	diś	f	0,06279	namas	n	0,07587	prāh	v	0,05436
rūpa	n	0,29680	jñā	v	0,21889	agni	m	0,14854	dhī	f	0,04360	viṣṇu	m	0,08110	sambhū	v	0,02645				same	v	0,00901	hṛ	v	0,07471																												vaṇij	m	0,05552	yāc	v	0,02820				yudh	v	0,03169	bhavat	adj	0,06773	hṛd	n	0,05552	han	v	0,19128	śubh	v	0,01046	svap	v	0,04128				praṇam	v	0,03837	bhāvay	v	0,05552	ahar	n	0,02674	phal	v	0,00669	abhidhāv	v	0,00581	tuṣ	v	0,03459	viś	v	0,05029	śiras	n	0,07180	muh	v	0,05000
kāla	m	0,25087	ākhyā	f	0,15581	tri	nr	0,13750	pṛthivī	f	0,04331	vāyu	m	0,05494	udbhū	v	0,01424				abhipre	v	0,00727	mātṛ	f	0,06134																												bhaj	v	0,04709	śuc	v	0,02326				krudh	v	0,02471	cit	f	0,05756	chid	v	0,05262	brahman	m	0,12325	kṣubh	v	0,00814	jap	v	0,03227				bhram	v	0,03139	kāray	v	0,05436	ācar	v	0,02093	skhal	v	0,00610	dhāv	v	0,00523	hṛṣ	v	0,03023	dṛś	f	0,04157	vacas	n	0,06337	āruh	v	0,04622
deva	m	0,24331	vidhā	v	0,11977	vidhi	m	0,12616	sakhī	f	0,04012	pāṇḍu	m	0,05029	bhrū	f	0,01337							pṛ	v	0,06017																												sṛj	v	0,03401	prāñc	adj	0,02296				vyadh	v	0,02326	pravṛt	v	0,05727	gad	v	0,04826	heman	n	0,11686	stambh	v	0,00785	kup	v	0,02587				nirgam	v	0,02936	varjay	v	0,04913	dvār	f	0,01395	val	v	0,00494				vīkṣ	v	0,02703	spṛś	v	0,03576	tejas	n	0,06221	vah	v	0,03314
putra	m	0,23982	vidyā	f	0,09913	siddhi	f	0,10291	ānī	v	0,03808	paśu	m	0,04535	kaṇḍū	f	0,01279							jṛ	v	0,04680																												saṁyuj	v	0,03110	vimuc	v	0,01831				vṛdh	v	0,02296	kṛt	adj	0,04884	vid	adj	0,03256	man	v	0,11482	saṁrabh	v	0,00581	tap	v	0,02326				ram	v	0,02762	marday	v	0,04622	samācar	v	0,01017	vigal	v	0,00494				ākṛṣ	v	0,02384	naś	v	0,03285	āyus	n	0,04593	arh	v	0,02849
guṇa	mn	0,19273	āyā	v	0,08372	buddhi	f	0,09709	lakṣmī	f	0,03663	mṛtyu	m	0,04506	sū	v	0,01250							bhartṛ	m	0,04564																												yaj	v	0,02849	tvac	f	0,01802				virudh	v	0,02296	śrīmat	adj	0,04884	utpad	v	0,02820	pañcan	adj	0,11134	jṛmbh	v	0,00552	samprāp	v	0,02326				udyam	v	0,02558	niveday	v	0,04360	vicar	v	0,00669							duṣ	v	0,02326	niś	f	0,02878	vapus	n	0,04564	sah	v	0,02238
