"от -300 до 200"	au	1=0.06%	"от -300 до 200"	a	1180=69.45%	"от -300 до 200"	ā	90=5.30%	"от -300 до 200"	i	117=6.89%	"от -300 до 200"	ī	43=2.53%	"от -300 до 200"	u	57=3.35%	"от -300 до 200"	ū	3=0.18%	"от -300 до 200"	o	1=0.06%	"от -300 до 200"	ṛ	16=0.94%	"от -300 до 200"	j	3=0.18%	"от -300 до 200"	c	4=0.24%	"от -300 до 200"	dh	2=0.12%	"от -300 до 200"	t	36=2.12%	"от -300 до 200"	d	8=0.47%	"от -300 до 200"	n	86=5.06%	"от -300 до 200"	p	1=0.06%	"от -300 до 200"	r	3=0.18%	"от -300 до 200"	v	1=0.06%	"от -300 до 200"	ṣ	1=0.06%	"от -300 до 200"	ś	3=0.18%	"от -300 до 200"	s	42=2.47%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
nau	f	0,01254	dharma	mn	0,57240	tā	f	0,07860	ṛṣi	m	0,23729	strī	f	0,10898	bahu	adj	0,21620	bhū	f	0,05658	go	mf	0,09625	pitṛ	m	0,22307	vaṇij	m	0,01217	vāc	f	0,09616	yudh	f	0,06188	mahat	adj	1,43021	vid	adj	0,07869	rājan	m	0,98937	ap	m	0,03707	catur	nr	0,06940	div	m	0,05714	ṣaṣ	adj	0,03856	diś	f	0,09514	manas	n	0,20570
			putra	m	0,48962	sītā	f	0,07776	agni	m	0,14800	pṛthivī	f	0,09969	bāhu	mf	0,18117	camū	f	0,02341				bhrātṛ	m	0,15478	ṛtvij	m	0,01171	tiryañc	adj	0,01031	kṣudh	f	0,01310	bhavat	adj	0,15209	suhṛd	m	0,05361	ātman	m	0,36828				ahar	n	0,02899							viś	f	0,06011	tapas	n	0,19232
			ratha	m	0,41409	prajā	f	0,07776	tri	nr	0,14196	śrī	f	0,06866	kuru	m	0,14772	vadhū	f	0,00855				mātṛ	f	0,08910	sraj	f	0,01013	tvac	f	0,00910				bhagavant	m	0,15079	hṛd	n	0,02072	karman	n	0,33029				gir	f	0,01737							niś	f	0,00855	tejas	n	0,17355
			deva	m	0,40508	bhāryā	f	0,06866	muni	m	0,14038	devī	f	0,06039	śatru	m	0,09765							bhartṛ	m	0,06559				prāñc	adj	0,00901				bhagavat	adj	0,10721	āpad	f	0,01840	mahātman	adj	0,22642																vacas	n	0,12152
			loka	m	0,39709	gadā	f	0,06661	buddhi	f	0,13741	nadī	f	0,05612	guru	m	0,08733							duhitṛ	f	0,02453										dhīmat	adj	0,05862	mud	f	0,01672	brahman	m	0,14419																dhanus	n	0,10675
			artha	mn	0,37358	senā	f	0,06476	pati	m	0,13091	mahī	f	0,05454	pāṇḍu	m	0,07618							nṛ	m	0,02304										sat	adj	0,05147	pad	m	0,01310	pañcan	adj	0,09542																śiras	n	0,09114
			bala	mn	0,34692	kanyā	f	0,06197	bhūmi	f	0,09616	kuntī	f	0,04571	sādhu	adj	0,07080							kartṛ	adj	0,01310										jagant	n	0,04915	saṁsad	f	0,01059	daśan	adj	0,07888																rakṣas	n	0,07470
			pāṇḍava	m	0,29935	prabhā	f	0,05045	gati	f	0,08975	vaidehī	f	0,03568	hetu	m	0,06708							dhātṛ	m	0,01208										balavat	adj	0,04813	sampad	f	0,00734	saptan	adj	0,05361																yaśas	n	0,06792
			śara	m	0,29591	devatā	f	0,04460	hari	m	0,07061	draupadī	f	0,03382	vāyu	m	0,06336							dātṛ	adj	0,01152										vīryavat	adj	0,04580				brahman	n	0,05147																cakṣus	n	0,04367
			rāma	m	0,28244	gaṅgā	f	0,04014	giri	m	0,07024	patnī	f	0,03066	mṛtyu	m	0,06225							kṣattṛ	m	0,01115										hanumant	m	0,04487				nāman	n	0,05017																cetas	n	0,04014
			kāla	m	0,25494	sabhā	f	0,03967	ādi	m	0,06429	purī	f	0,02648	bhikṣu	m	0,05937							kartṛ	m	0,01013										śrīmat	adj	0,04357				balin	adj	0,04348																tamas	n	0,03874
