"Недатированные тексты"	ā	38=8.12%	"Недатированные тексты"	i	9=1.92%	"Недатированные тексты"	ī	9=1.92%	"Недатированные тексты"	u	10=2.14%	"Недатированные тексты"	ū	11=2.35%	"Недатированные тексты"	e	2=0.43%	"Недатированные тексты"	ṛ	29=6.20%	"Недатированные тексты"	kh	1=0.21%	"Недатированные тексты"	k	1=0.21%	"Недатированные тексты"	g	1=0.21%	"Недатированные тексты"	ṭh	1=0.21%	"Недатированные тексты"	ṭ	3=0.64%	"Недатированные тексты"	ch	3=0.64%	"Недатированные тексты"	j	19=4.06%	"Недатированные тексты"	c	10=2.14%	"Недатированные тексты"	th	1=0.21%	"Недатированные тексты"	dh	14=2.99%	"Недатированные тексты"	t	5=1.07%	"Недатированные тексты"	d	23=4.91%	"Недатированные тексты"	n	15=3.21%	"Недатированные тексты"	bh	3=0.64%	"Недатированные тексты"	p	21=4.49%	"Недатированные тексты"	b	1=0.21%	"Недатированные тексты"	m	16=3.42%	"Недатированные тексты"	y	156=33.33%	"Недатированные тексты"	r	4=0.85%	"Недатированные тексты"	l	5=1.07%	"Недатированные тексты"	v	3=0.64%	"Недатированные тексты"	ṣ	15=3.21%	"Недатированные тексты"	ś	17=3.63%	"Недатированные тексты"	s	10=2.14%	"Недатированные тексты"	h	12=2.56%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
dā	v	0,29199	ji	v	0,06336	pratī	v	0,03925	dru	v	0,06129	bhū	v	0,66869	upe	v	0,02135	kṛ	v	0,83053	likh	v	0,02135	śak	v	0,00895	lag	v	0,01308	paṭh	v	0,00620	puṭ	v	0,07093	vāñch	v	0,00964	yuj	v	0,15770	vac	v	0,48206	kvath	v	0,00689	śudh	v	0,17699	pat	v	0,04683	vid	v	0,07300	jan	v	0,18112	labh	v	0,04476	kṣip	v	0,12189	ālamb	v	0,00413	gam	v	0,09779	kathay	v	0,13429	car	v	0,03994	mil	v	0,06336	sev	v	0,04614	piṣ	v	0,08057	dṛś	v	0,06267	as	v	0,92625	ah	v	0,32711
jñā	v	0,25687	i	v	0,02548	nī	v	0,02617	śru	v	0,05922	sambhū	v	0,01928	same	v	0,00551	smṛ	v	0,21073													sphuṭ	v	0,00620	ṛch	v	0,00758	saṁyuj	v	0,06267	pravac	v	0,24379				bandh	v	0,10054	vṛt	v	0,02273	vad	v	0,07162	han	v	0,15770	ārabh	v	0,01240	jap	v	0,07231				dham	v	0,07438	marday	v	0,12809	ācar	v	0,02341	gal	v	0,02824	jīv	v	0,01791	iṣ	v	0,04132	naś	v	0,02686	śaṁs	v	0,05647	grah	v	0,11845
sthā	v	0,12120	kṣi	v	0,02341	lī	v	0,01171	plu	v	0,01308	brū	v	0,01722				mṛ	v	0,14669													truṭ	v	0,00413	pracch	v	0,00551	prayuj	v	0,04958	pac	v	0,13016				sidh	v	0,06405	pravṛt	v	0,00758	mṛd	v	0,03925	man	v	0,11914	lubh	v	0,00551	lip	v	0,05785				āgam	v	0,01859	bhāvay	v	0,11432	samācar	v	0,01584	cal	v	0,00964	carv	v	0,01377	ghṛṣ	v	0,02135	uddiś	v	0,01515	praśaṁs	v	0,04890	dah	v	0,04270
vidhā	v	0,09159	āśri	v	0,01240	ānī	v	0,01171	hu	v	0,01033	pū	v	0,01240				jṛ	v	0,11501																			tyaj	v	0,04752	muc	v	0,05165				rudh	v	0,03237	nipat	v	0,00620	bhid	v	0,02892	nihan	v	0,05096				āp	v	0,05716				ram	v	0,01584	yojay	v	0,07920	sphur	v	0,00758	jval	v	0,00689				ākṛṣ	v	0,01653	aś	v	0,01308	nyas	v	0,02824	nirvivah	v	0,02410
vijñā	v	0,08608	udi	v	0,01102	vilī	v	0,00620	sru	v	0,00826	anubhū	v	0,00964				hṛ	v	0,06267																			bhuj	v	0,04063	sampravac	v	0,02548				prasidh	v	0,03030	nivṛt	v	0,00413	svid	v	0,02548	prajan	v	0,03099				tap	v	0,05578				prayam	v	0,01515	varjay	v	0,06680				lal	v	0,00482				rakṣ	v	0,01515	praviś	v	0,01240	gras	v	0,02410	prāh	v	0,02066
pā	v	0,07644	niści	v	0,00895	atī	v	0,00551	vidru	v	0,00826	udbhū	v	0,00826				dhṛ	v	0,03994																			vraj	v	0,02755	vimuc	v	0,01515				viśudh	v	0,02273				khād	v	0,01859	nikhan	v	0,01171				prāp	v	0,05578				niyam	v	0,01240	sthāpay	v	0,05716										sampiṣ	v	0,01240	nirdiś	v	0,01102	abhyas	v	0,01791	vah	v	0,01722
yā	v	0,05991	ci	v	0,00413	śrī	v	0,00551	pariplu	v	0,00551	prabhū	v	0,00551				udāhṛ	v	0,03168																			samāyuj	v	0,01997	sic	v	0,01171				vyadh	v	0,01997				utpad	v	0,01722	saṁjan	v	0,01102				nikṣip	v	0,03650				kram	v	0,01033	kāray	v	0,05440										puṣ	v	0,01102	viś	v	0,00964	vinyas	v	0,01515	lih	v	0,01653
hā	v	0,05165	śri	v	0,00413	pralī	v	0,00482	viśru	v	0,00551	prādurbhū	v	0,00551				pṛ	v	0,03099																			bhaj	v	0,01791	niṣic	v	0,00689				nirudh	v	0,01859				nigad	v	0,01584	tan	v	0,00964				vinikṣip	v	0,02755				nam	v	0,01033	prakīrtay	v	0,05234										viśiṣ	v	0,01033	paś	v	0,00964	vas	v	0,01377	saṁgrah	v	0,01240
mā	v	0,04201	viji	v	0,00413	samānī	v	0,00482	stu	v	0,00482	bhasmībhū	v	0,00482				samuddhṛ	v	0,02824																			rañj	v	0,01240	nirmuc	v	0,00620				vṛdh	v	0,01240				āpad	v	0,01033	vitan	v	0,00689				dīp	v	0,01584				antargam	v	0,00964	pūjay	v	0,04545										duṣ	v	0,00964	upadiś	v	0,00964	ās	v	0,00826	muh	v	0,00826
dhā	v	0,03925							cyu	v	0,00413	antarbhū	v	0,00413				uddhṛ	v	0,02479																			yaj	v	0,00895	atiric	v	0,00413				budh	v	0,01033				sampad	v	0,01033	samman	v	0,00689				prakṣip	v	0,01515				āyam	v	0,00964	vimarday	v	0,04476										bhakṣ	v	0,00689	vinirdiś	v	0,00964	samabhyas	v	0,00826	vyūh	v	0,00689
nidhā	v	0,03650										ekībhū	v	0,00413				prakṛ	v	0,02410																			añj	v	0,00826							saṁrudh	v	0,00620				chid	v	0,00964	āhan	v	0,00620				prajap	v	0,01308				praṇam	v	0,00895	bhakṣay	v	0,04339										pracakṣ	v	0,00689	vinaś	v	0,00826				arh	v	0,00620
pradā	v	0,02892																vistṛ	v	0,01653																			sṛj	v	0,00826							vadh	v	0,00551				prasad	v	0,00964	samprajan	v	0,00482				avāp	v	0,01102				śam	v	0,00758	dhāray	v	0,04063										bhāṣ	v	0,00620	spṛś	v	0,00689				āruh	v	0,00482
khyā	v	0,02341																saṁskṛ	v	0,01584																			majj	v	0,00826							nibandh	v	0,00482				vid	v	0,00895	khan	v	0,00413				svap	v	0,01033				bhram	v	0,00551	cūrṇay	v	0,03719										śuṣ	v	0,00620	prakāś	v	0,00689						
ādā	v	0,02341																āvṛ	v	0,01240																			parityaj	v	0,00758							niṣidh	v	0,00482				vand	v	0,00758	utkhan	v	0,00413				gup	v	0,00895				yam	v	0,00482	pācay	v	0,03650										vyācakṣ	v	0,00551	diś	v	0,00620						
abhidhā	v	0,02135																ekīkṛ	v	0,01102																			niyuj	v	0,00620													niṣpad	v	0,00689	vinihan	v	0,00413				saṁtap	v	0,00826				ākram	v	0,00482	nāśay	v	0,03650										īkṣ	v	0,00482	bhraṁś	v	0,00482						
āyā	v	0,02135																āhṛ	v	0,01033																			upayuj	v	0,00482													gad	v	0,00620							vyāp	v	0,00689				nirgam	v	0,00413	māray	v	0,03512													upaviś	v	0,00413						
saṁsthā	v	0,02135																bhṛ	v	0,00964																			nimajj	v	0,00482													mad	v	0,00620							vilip	v	0,00620							lepay	v	0,03512													praṇaś	v	0,00413						
samākhyā	v	0,02066																sṛ	v	0,00689																			virāj	v	0,00482													samutpad	v	0,00482							samprāp	v	0,00620							jāray	v	0,03512																					
saṁmā	v	0,01859																cūrṇīkṛ	v	0,00689																			bhṛjj	v	0,00482													kṣud	v	0,00413							niḥkṣip	v	0,00551							pūray	v	0,03374																					
ākhyā	v	0,01653																sampṛ	v	0,00689																																		nind	v	0,00413							ālip	v	0,00482							sādhay	v	0,03306																					
utthā	v	0,01515																paripṛ	v	0,00551																																		spand	v	0,00413							kﾱp	v	0,00413							darśay	v	0,03168																					
dhyā	v	0,01446																vikṛ	v	0,00551																																		pratipad	v	0,00413																śodhay	v	0,03099																					
