"от 200 до 700"	ā	61=8.59%	"от 200 до 700"	i	20=2.82%	"от 200 до 700"	ī	19=2.68%	"от 200 до 700"	u	9=1.27%	"от 200 до 700"	ū	16=2.25%	"от 200 до 700"	e	8=1.13%	"от 200 до 700"	ṛ	54=7.61%	"от 200 до 700"	kh	1=0.14%	"от 200 до 700"	gh	1=0.14%	"от 200 до 700"	k	2=0.28%	"от 200 до 700"	ṭh	1=0.14%	"от 200 до 700"	ṭ	1=0.14%	"от 200 до 700"	ḍ	1=0.14%	"от 200 до 700"	ch	4=0.56%	"от 200 до 700"	j	42=5.92%	"от 200 до 700"	c	19=2.68%	"от 200 до 700"	th	3=0.42%	"от 200 до 700"	dh	24=3.38%	"от 200 до 700"	t	16=2.25%	"от 200 до 700"	d	33=4.65%	"от 200 до 700"	n	20=2.82%	"от 200 до 700"	bh	8=1.13%	"от 200 до 700"	p	29=4.08%	"от 200 до 700"	m	47=6.62%	"от 200 до 700"	y	142=20.00%	"от 200 до 700"	r	6=0.85%	"от 200 до 700"	l	4=0.56%	"от 200 до 700"	v	4=0.56%	"от 200 до 700"	ṣ	38=5.35%	"от 200 до 700"	ś	29=4.08%	"от 200 до 700"	s	21=2.96%	"от 200 до 700"	h	27=3.80%
Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank	Lemma	Type	Rank
dā	v	0,37192	ji	v	0,06279	nī	v	0,05382	śru	v	0,23321	bhū	v	0,92931	upe	v	0,04357	kṛ	v	1,02189	likh	v	0,00929	ślāgh	v	0,00737	śak	v	0,04132	paṭh	v	0,02467	ceṣṭ	v	0,00673	krīḍ	v	0,01698	pracch	v	0,08457	yuj	v	0,15729	vac	v	0,98088	math	v	0,01121	sidh	v	0,04997	pat	v	0,08937	vid	v	0,14800	jan	v	0,25467	labh	v	0,09514	prāp	v	0,17683	gam	v	0,46449	pūjay	v	0,08937	car	v	0,11596	jval	v	0,02659	jīv	v	0,03940	iṣ	v	0,11853	dṛś	v	0,37352	as	v	0,68937	ah	v	0,23993
sthā	v	0,24026	i	v	0,03972	atī	v	0,04196	hu	v	0,04869	brū	v	0,15665	pre	v	0,02819	smṛ	v	0,22680							śaṅk	v	0,00705										mūrch	v	0,00961	bhuj	v	0,10091	pravac	v	0,10731	kath	v	0,00641	bandh	v	0,04485	pravṛt	v	0,07752	vad	v	0,10027	han	v	0,15825	ārabh	v	0,03203	avāp	v	0,08329	āgam	v	0,11917	kathay	v	0,08361	ācar	v	0,03780	cal	v	0,01954	sev	v	0,03428	bhāṣ	v	0,04132	praviś	v	0,06759	vas	v	0,07432	grah	v	0,16369
yā	v	0,16818	kṣi	v	0,03556	adhī	v	0,02787	stu	v	0,03396	sambhū	v	0,03780	e	v	0,01634	hṛ	v	0,07592																			ṛch	v	0,00833	tyaj	v	0,07592	muc	v	0,08809	prath	v	0,00577	śudh	v	0,04453	vṛt	v	0,07432	bhid	v	0,05350	man	v	0,10091	upalabh	v	0,02018	āp	v	0,06823	prayam	v	0,04613	kāray	v	0,06695	samācar	v	0,02499	phal	v	0,00961	niṣev	v	0,01089	rakṣ	v	0,04004	paś	v	0,06439	ās	v	0,04357	arh	v	0,08777
jñā	v	0,14608	āśri	v	0,03556	śī	v	0,02691	viśru	v	0,02274	prasū	v	0,01922	abhyupe	v	0,01057	mṛ	v	0,05190																			paripracch	v	0,00641	sṛj	v	0,05638	vimuc	v	0,02403				nibudh	v	0,03460	nivṛt	v	0,03492	utpad	v	0,05061	nihan	v	0,02819	lubh	v	0,00769	tap	v	0,03780	niyam	v	0,04132	cintay	v	0,05958	vicar	v	0,01217	lal	v	0,00609	dhāv	v	0,00513	duṣ	v	0,02851	naś	v	0,04164	nyas	v	0,02114	dah	v	0,05510
hā	v	0,09610	udi	v	0,01698	bhī	v	0,02691	cyu	v	0,01826	anubhū	v	0,01890	same	v	0,01025	bhṛ	v	0,03300																						vraj	v	0,03972	yāc	v	0,01762				vṛdh	v	0,03043	nipat	v	0,02435	chid	v	0,04036	avaman	v	0,01377	pratilabh	v	0,00641	kṣip	v	0,03716	ram	v	0,03588	varjay	v	0,05157	sphur	v	0,00993							tuṣ	v	0,02403	spṛś	v	0,03300	praśaṁs	v	0,02050	prāh	v	0,04389
ādā	v	0,08137	prahi	v	0,01281	prī	v	0,02691	sru	v	0,01057	pū	v	0,01730	ave	v	0,00993	āvṛ	v	0,02851																						yaj	v	0,03876	abhiṣic	v	0,01730				viśudh	v	0,02435	praṇipat	v	0,01538	prasad	v	0,03748	saṁjan	v	0,01281	kṣubh	v	0,00577	svap	v	0,03716	praṇam	v	0,03332	janay	v	0,04196	upacar	v	0,00673							viśiṣ	v	0,02274	viś	v	0,02595	śaṁs	v	0,01858	vah	v	0,02883
vijñā	v	0,07304	vismi	v	0,01121	ānī	v	0,01794	dru	v	0,00993	abhibhū	v	0,01634	samave	v	0,00737	adhikṛ	v	0,02723																						utsṛj	v	0,03492	abhyarc	v	0,01506				budh	v	0,02146	anuvṛt	v	0,00929	vid	v	0,03332	āhan	v	0,01249	śubh	v	0,00545	jap	v	0,03171	adhigam	v	0,03043	dāpay	v	0,03780										avekṣ	v	0,02018	vinaś	v	0,02210	śās	v	0,01666	āruh	v	0,02851
pā	v	0,06887	samāśri	v	0,01089	vinī	v	0,01730	saṁstu	v	0,00961	prabhū	v	0,01602	ape	v	0,00673	dhṛ	v	0,02595																						bhaj	v	0,03267	atiric	v	0,01057				krudh	v	0,01986	saṁvṛt	v	0,00929	upapad	v	0,02883	upahan	v	0,01249	jṛmbh	v	0,00513	dīp	v	0,02531	śam	v	0,02947	sthāpay	v	0,03684										hṛṣ	v	0,01954	aś	v	0,02146	has	v	0,01666	guh	v	0,02691
vidhā	v	0,05638	viji	v	0,01057	vikrī	v	0,01442	plu	v	0,00609	udbhū	v	0,01217				āhṛ	v	0,02499																						saṁyuj	v	0,03075	pramuc	v	0,01025				vadh	v	0,01954	nṛt	v	0,00865	pratipad	v	0,02627	abhiman	v	0,01121				samprāp	v	0,02467	bhram	v	0,02947	arcay	v	0,03139										ācakṣ	v	0,01922	āviś	v	0,02146	nivas	v	0,01602	muh	v	0,02531
