pwg_L	pwg_key1	pwg_key2	pwg_hom	pwg_pc	pwg_gloss_snippet	rv_occurrence_count	example_location	example_form	example_lemma	geldner_text	grassmann_text
31417	tva	tva	1	3-0460	1. tva und tu¦ Stamm der 2ten Person sg. tva/m ṚV. 2,1,1. fgg. tvA/m 1,5,8 . 63,6 . 102,9 . tva/yA 102,4 . 2,4,9 . 23,10 . tvA/ = tva/yAH tvA yu\jA (= tvayA^ yu\jA 1,102,4 ) 4,28,1 . 2 . 8,81,31 . tu/Byam 7,14,13 . 19,10	4712	1.1.6	tvám	tvám	Wenn du wirklich dem Spender Gutes tun willst, Agni, so wird bei dir das wahr, oh Aṅgiras.	Dass du dem Mann, der dich verehrt, o Agni, Heil verschaffen wirst, Ist deine Art, o Angiras.
7632	aham	aham		1-0572	aham¦ nom. sg. {%ich%} ṚV. 10,125,1. fgg. 48,1. fgg. ahamiti hanti pApmAnaM jahAti ca ŚAT. BR. 14,8,6,5 = BṚH. ĀR. UP. 5,5,4 . Auf dieselbe spielende Weise wird ebend. 3 ahar erklärt. — Ueber die übrigen casus des sg. s.	4147	1.1.7	vayám	ahám	Dir, Agni, nahen wir Tag für Tag, du Dunkel-Erheller, mit Andacht, Huldigung darbringend,	Dir, Agni, nahn wir Tag für Tag, o Nachterheller, mit Gebet Und bringen dir Verehrung dar.
81460	yad	yad		6-0053	yad¦ (von 1. ya) 1〉 nom. und acc. sg. neutr. von ya und als Thema am Anf. von compp. ; s. u. 1. ya. — 2〉 indecl. Einfluss auf den Ton des verbi finiti P. 8,1,30 . 56 . a〉 {%dass%}: vi\duzwe^ a\sya vI\rya^sya pU\rava\H pu	4020	1.1.4	yám	yá-	Agni! Nur die Anbetung und das Opfer, das du ganz zusammenhältst, gelangt zu den Göttern.	Welch Opfer, Agni, welches Fest von allen Seiten du umfängst, Nur das geht zu den Göttern hin.
102722	sa	sa	1	7-0451	1. sa¦ pron der dritten Person, nur im nom. sg. masc. und fem. erhalten; im Veda noch der loc. sa/smin in Verbindung mit UGa^n ṚV. 1,152,6 . 186,4 . 4,7,7 . 10,8 . 7,36,3 . yonO^ 1,174,4 . aha^n 10,95,11 . AjO 1,52,15 . 	3345	1.1.2	sá	sá- ~ tá-	Agni war von den früheren R̥ṣis und ist von den jüngsten zu berufen; er möge die Götter hierher fahren.	Der von der alten Sängerschar, von neuen auch zu preisen ist, Die Götter fahr uns Agni her.
102721.1	sa	sa*⁾		7-0451	sa*⁾¦ *⁾ Was man hier vermisst, suche man unter Sa oder za.	3345	1.1.2	sá	sá- ~ tá-	Agni war von den früheren R̥ṣis und ist von den jüngsten zu berufen; er möge die Götter hierher fahren.	Der von der alten Sängerschar, von neuen auch zu preisen ist, Die Götter fahr uns Agni her.
28513	tad	tad		3-0210	√tad¦ (von 1. ta) 1〉 nom. acc. sg. neutr. von 1. ta und als Thema am Anf. von compp. ; s. u. 1. ta. — 2〉 adv. a〉 {%da, dahin, dort%}: tamA^Msi\ yatra\ gacCa^nti\ tatkra\vyAdo^ ajIgamam AV. 2,25,5 . 6,142,2 . 10,10,7 . AI	3345	1.1.2	sá	sá- ~ tá-	Agni war von den früheren R̥ṣis und ist von den jüngsten zu berufen; er möge die Götter hierher fahren.	Der von der alten Sängerschar, von neuen auch zu preisen ist, Die Götter fahr uns Agni her.
7766	A	A	2	1-0581	2. A¦ 1〉 adv. a〉 {%her, herzu%}: A tU na^ indra kOSika mandasA\naH su\taM pi^ba ṚV. 1,10,11 . a\nu\kA\maM ta^rpayeTA\mindrA^varuRa rA\ya A 17,3 . A pra dra^va AV. 3,4,5 . A pra yA^tu parA\vata^H 6,35,1 . A pra cya^veTAm 	2843	1.1.2	ā́	ā́	Agni war von den früheren R̥ṣis und ist von den jüngsten zu berufen; er möge die Götter hierher fahren.	Der von der alten Sängerschar, von neuen auch zu preisen ist, Die Götter fahr uns Agni her.
10134	indra	i/ndra		1-0802	i/ndra¦ Uṇ. 2,29 . mit kftAdi zusammenges. gaṇa SreRyAdi zu P. 2,1,59 . 1〉 m. a〉 N. des bekannten Gottes, welcher im vedischen Glauben an der Spitze der Götterschaaren des mittleren Reiches, des Luftkreises, steht. Seine	2437	1.2.5	índraḥ	índra-	Vāyu und Indra! Ihr versteht euch auf die ausgepreßten (Tränke), ihr Gewinnreichen(?). Kommet also eilig heran!	O Vaju, Indra, nehmet wahr der Tränke, labungsreiche ihr, So kommet eilig denn herbei.
10073	idam	ida/m	1	1-0794	1. ida/m¦ Uṇ. 4,158 . gaṇa sarvAdi zu P. 1,1,27 . VOP. 3,9 . 56 . 126 — 132 . 163 . nom. acc. sg. neutr. , zusammeng. aus id + am; erscheint in dieser Form auch am Anfange einiger compp. und im deriv. idammaya. Der nom. 	2212	1.2.1	imé	ayám	Vāyu! Komm her, du Gerngesehener; diese Somasäfte sind fertig. Trink davon, erhöre den Ruf!	O schöner Vaju, komm herbei, die Somatränke stehn bereit; Von diesen trinke, hör den Ruf.
67198	idam	idam	1	5-1140	1. idam¦, etAnImAni ca AIT. UP. 5,3 . anDaM tama ivedaM syAnna prajYAyeta kiM ca na {%Alles um uns herum%} Spr. 3495 . Sp. 795, Z. 7 v. u. lies paYcaBiretaccakAra; Z. 9 v. u. lies evamAha st. evAmAha.	2212	1.2.1	imé	ayám	Vāyu! Komm her, du Gerngesehener; diese Somasäfte sind fertig. Trink davon, erhöre den Ruf!	O schöner Vaju, komm herbei, die Somatränke stehn bereit; Von diesen trinke, hör den Ruf.
