grammar_id	nongrammar_locus	link_type	source_dataset	date
id_gra:3983	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:1404	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:6983	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:7046	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:9064	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:3606	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:1444	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:1708	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:1696	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:2312	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:1697	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:4792	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:5143	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:79	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:4419	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:1305	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:5833.1	vedaweb:67615e6bb20f4c1a9fb8a040:1.3.12	translation-witness	metrical_data_2024	2026-07-11
id_gra:2645	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.6	translation-witness	metrical_data_2024	2026-07-11
id_gra:8151	vedaweb:67615e6bb20f4c1a9fb8a040:1.3.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:8233	vedaweb:67615e6bb20f4c1a9fb8a040:1.3.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:3184	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.5	translation-witness	metrical_data_2024	2026-07-11
id_gra:4664	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:1775	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:4231	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:4232	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:4513	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.3	translation-witness	metrical_data_2024	2026-07-11
id_gra:10160	vedaweb:67615e6bb20f4c1a9fb8a040:1.2.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:7952.1	vedaweb:67615e6bb20f4c1a9fb8a040:1.3.12	translation-witness	metrical_data_2024	2026-07-11
id_gra:1675	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.7	translation-witness	metrical_data_2024	2026-07-11
id_gra:6403	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.9	translation-witness	metrical_data_2024	2026-07-11
id_gra:1695	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.4	translation-witness	metrical_data_2024	2026-07-11
id_gra:765	vedaweb:67615e6bb20f4c1a9fb8a040:1.5.1	translation-witness	metrical_data_2024	2026-07-11
id_gra:1879	vedaweb:67615e6bb20f4c1a9fb8a040:1.1.2	translation-witness	metrical_data_2024	2026-07-11
id_gra:1841	vedaweb:67615e6bb20f4c1a9fb8a040:1.23.15	translation-witness	metrical_data_2024	2026-07-11
