Present Ind.;30.03%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(2335)-āmi (3398)-Chāmi (3524)-omi (4455)-yāmi (7317)-mi (7449)-de (7519)-emi (7816)-romi (7967)-ve (9160)-ye (9349)-rāmi (9605)-dāmi (9629)-umi (9650)-te (10033)-vīmi (10106)-nomi (10157)-je (10176)-tāmi (10234)-ncāmi (10430)-se (10448)-nje (10838)-he (10874)-ṇāmi (10961)-vāmi (11013)-imi (11028)-bāmi (11065)-ce (11167)-ṇomi (11292)-ne (11370)-ṣe (11416)-me (11421)-rve (11437)-armi (11456)-Che (11474)-ajmi (11526)-ṇe (11547)-dmi (11584)-pe (11606)-rmi (11657)-re (11698)-ke (11702)-pāmi (11714)-admi (11745)-ḍe (11748)-nce (11773)-nāmi -ṣāmi (11774)-ṭe -jāmi -lpe (11775)-le -njāmi -iṣāmi (11776)-be -iyāmi -remi (11802)-īmi -ṭhāmi (11806)-śāmi -dhmi -iye -jmi (11811)-akmi (11818)-ṇve (11819)-nuve -parmi (11821)-aṣmi -nve -ayāmi -aimi ;10.44;(2)-yāvahe (27)-Chāvaḥ (61)-aḥ (65)-Chāvahe (83)-āvaḥ (93)-āvahe (94)-nuvaḥ -dāvaḥ (100)-vaḥ (103)-yāvaḥ (104)-rvaḥ -dvahe -īvaḥ ;0.10;(160)-mahe (172)-rāmaḥ (429)-āmaḥ (576)-Chāmaḥ (904)-maḥ (1017)-yāmaḥ (1355)-āmahe (1412)-yāmahe (1433)-numaḥ (1450)-masi (1456)-rmahe (1568)-aḥ (1612)-Chāmahe (1619)-tāmahe (1625)-ncāmaḥ (1636)-īmaḥ (1641)-vāmaḥ (1658)-umaḥ (1661)-njmahe (1740)-ṇīmahe (1741)-nīmahe (1776)-rmaḥ (1780)-ravāmahe (1782)-mīmahe (1790)-vāmahe -ṇumaḥ (1800)-ahe (1802)-tāmaḥ (1805)-dāmaḥ -mīmaḥ (1816)-rāmahe (1822)-dmaḥ (1823)-ṇīmaḥ (1826)-bāmaḥ (1828)-njāmaḥ -nīmaḥ (1832)-imaḥ (1834)-dāmahe (1836)-dmahe (1974)-āmasi -rīmaḥ (2081)-īmahe (2115)-asi (2116)-ṇmahe (2118)-nīmasi -ṛmasi (2119)-imasi (2120)-ūmasi -si -ma -śīmasi (2129)-rāmasi -ṛmaḥ -ṇīmasi (2142)-ṇmaḥ (2160)-yāmasi (2163)-ṇmasi (2165)-emasi (2169)-dmasi (2172)-vāmasi (2173)-ayāmasi -śīmahi (2174)-iṣmaḥ -nmasi -īmasi ;1.97;
2-е лицо;(2201)-asi (5427)-si (5944)-Chasi (5945)-nosi (6423)-yase (6436)-tse (6494)-eṣi (6504)-ṇāsi (6543)-iṣi (6604)-se (7371)-ase (7420)-roṣi (7459)-ruṣe (7465)-pasi (7466)-lpase (7799)-yasi (7853)-vasi (7878)-vase (7917)-noṣi (7952)-arṣi (7971)-ṇoṣi (7975)-uṣe (8032)-rasi (8163)-ṣe (8209)-dāsi (8217)-ṇuṣe (8277)-tase (8297)-ṇīṣe (8298)-ncase (8343)-āsi (8344)-tsi (8357)-nāsi (8407)-vīṣi (8481)-ṣi (8490)-basi (8503)-ncasi (8509)-tasi (8522)-akṣi (8548)-ṣasi (8581)-oṣi (8587)-rase (8602)-Chase (8605)-njase (8609)-uṣi (8617)-ṇkṣe -base (8620)-īṣe -ṭhasi -aiṣi (8633)-rṣi (8639)-dase (8640)-ṣase -reṣi (8665)-iṣe (8667)-atsi (8670)-gāsi (8683)-īyase (8684)-dasi -īṣi -ṇasi (8687)-nuṣe (8689)-inoṣi (8691)-parṣi (8694)-kṣi -sarṣi (8698)-nase -keṣi (8702)-viṣe -ekṣi -nīṣe -casi -cChasi (8703)-kṣe (8706)-jasi ;7.71;(45)-aḥ (166)-athaḥ -tathaḥ (175)-yathaḥ -ruthaḥ (180)-ṛthaḥ (182)-ncathaḥ (204)-Chathaḥ (233)-thaḥ (256)-ethe (262)-vathaḥ (266)-ṇuthaḥ (269)-rethe (270)-uthaḥ -pṛthaḥ -vāthe -the (273)-yethe -ethaḥ (289)-āthe (292)-rathaḥ (293)-ṇīthaḥ (296)-tthaḥ (298)-njāthe -īthām -vethe -nīthaḥ (299)-ṣathaḥ ;0.29;(170)-atha (337)-ha (375)-yatha (376)-tatha (415)-Chatha (451)-tha (454)-ṛtha (465)-adhve (470)-vatha -vīthaḥ (471)-patha (476)-ratha (478)-rutha -itha (502)-yadhve -ve (515)-hā -rudhve (517)-ītha (519)-athā -pṛtha (534)-ana (538)-nutha -dhve (543)-thana (545)-ncatha (552)-ṇutha (556)-ttha -radhve -idhve -athana -ata -utha -īdhve ;0.52;
3-е лицо;(184)-arti (6982)-vati (17074)-ti (19348)-yate (29029)-ate (30705)-noti (34364)-yati (34986)-iti (36778)-tate (37811)-rute (50404)-ati (51419)-āti (53116)-te (55127)-Chati (55686)-tte (56460)-rati (56586)-ṭe (58247)-roti (58385)-ṇoti (58704)-ncati (59240)-oti (59524)-vate (59891)-ṇkte (59985)-ute (60465)-dāti (61508)-eti (61606)-akti (61772)-lpate (62228)-nute (62457)-ṇāti (62752)-nāti -vatitarām (62846)-rti (63002)-rate (63107)-bati (63108)-ñcinoti (63191)-dhe (63274)-ryati (63505)-ṣati (63562)-njate (63708)-dati (63786)-sti (63826)-tati (63857)-ṭhati (64015)-ṭi (64103)-atti (64135)-ṇīte (64166)-ṣṭi (64226)-vīti (64237)-aṣṭi (64375)-date (64458)-uti (64603)-pati (64617)-nate (64680)-ddhi (64716)-Chate (64730)-ṭhate (64749)-ṣate (64789)-īte (64800)-parti (64868)-ṇute (64885)-hi (64893)-dhi (64913)-mīte (64934)-ncate (64941)-jati (64944)-atetarām (64946)-atitarām (64950)-kte (64952)-lati (64962)-njati -riti (64975)-nīte (64989)-pate (64990)-iyati (64996)-bate (64997)-īryati -ttetarām -tatitarām -tetarām (65027)-īti -arati (65029)-avati -irati (65031)-ayate (65035)-tti (65038)-asti (65043)-aiti (65044)-kti (65117)-he -ratitarām (65133)-ye (65157)-gāti (65212)-ve (65224)-īyate (65231)-śīte -eṣṭi (65253)-ṣe (65260)-māti (65261)-re -sarti -yoti (65278)-de (65283)-ṇe -unoti (65289)-nve (65290)-inoti -cChati -nje -iyate (65291)-śāti -jate ;57.45;(17)-rutaḥ (37)-yete (125)-ete (156)-aḥ (447)-ataḥ (660)-vataḥ (667)-ītaḥ (710)-taḥ (758)-yataḥ (784)-Chataḥ (827)-āte (829)-ttaḥ (830)-ṭaḥ (831)-ṇktaḥ (834)-vāte (843)-te (846)-pataḥ (850)-ncataḥ (851)-tataḥ (856)-rataḥ (862)-rvāte (864)-njāte (867)-dāte (874)-nutaḥ (875)-utaḥ (883)-tete -dataḥ (886)-ṭhataḥ (887)-nuvāte -ṣataḥ (893)-ṛtaḥ -ryataḥ -tuḥ (898)-itaḥ -Chete (899)-vete -ṇvāte (900)-cChataḥ (901)-rete -iṣṭaḥ (902)-ṇītaḥ (903)-ktaḥ -mītaḥ (904)-nītaḥ (906)-etaḥ -ncete -iyāte (907)-māte -yāte -bataḥ -ṇutaḥ -rtete -pete ;0.84;(2500)-nti (4598)-yanti (12350)-anti (12503)-vate (15330)-vanti (15346)-ryanti (15819)-tante (16444)-yante (16997)-rvanti (17862)-ate (19854)-ante (19907)-te (20017)-ati (20580)-ranti (20676)-ṇanti (20752)-danti (20754)-ncate (20836)-rate (21693)-Chanti (21761)-nvanti (21905)-rvate (21963)-nte (22102)-nanti (22224)-njate (22289)-vante (22338)-ṭhanti (22543)-nuvanti (22577)-ti (22650)-ṣanti (22679)-rati (22703)-date (22771)-panti (22832)-vati (22859)-yate (22889)-lpante (22922)-tanti (23035)-banti (23073)-njanti (23095)-yati (23120)-ṇate (23126)-nuvate (23205)-ncanti (23214)-Chante (23218)-njante (23255)-rante (23288)-dati (23293)-janti (23302)-ṇvate (23308)-iyanti (23314)-dante (23317)-ṣante -jante (23338)-ṇvanti (23343)-pante -lpanti (23353)-ṭhante (23357)-bante (23359)-nvate (23391)-aranti (23408)-āyanti (23411)-ganti -ire (23422)-nvire (23430)-srate (23434)-mate (23441)-vire (23444)-prati (23445)-uranta (23446)-āte -cati -invire (23455)-re (23456)-īyante -ṇuvanti (23459)-uvanti (23462)-nate -manti -ncante ;20.68;

Pres. Potential;19.21%;;;
Лицо;Ед.ч.;%;Дв.ч.;%;Мн.ч.;%;
1-е лицо;(68)-dyām (172)-ām (336)-yām (785)-eyam (818)-reyam (870)-veyam (921)-nuyām (1003)-ryām (1008)-teya (1121)-yeyam (1139)-īyām (1186)-eya (1190)-yeya (1282)-Cheyam (1283)-ṇīyām (1291)-nīyām -ṇīya (1296)-beyam (1304)-iyām (1307)-njīyām (1321)-yam (1324)-deyam (1328)-uyām (1329)-veya -viṣyeyam (1330)-iyeyam -ṣeyam -nīya (1331)-ṇuyām (1343)-teyam (1345)-njīya -deya -reya -ṭheyam (1351)-nceyam (1353)-āt -yīya (1360)-rvīya (1361)-Cheya -peyam -nuvīya (1366)-īya -dīya ;1.94;(1)-āva (4)-eva (5)-evahi ;0.01;(89)-yema (359)-ema (397)-rema -ma (399)-yemahi (463)-emahi (481)-Chema (672)-āma (678)-īmahi (681)-vīmahi -īyāma (682)-vāma (690)-nuyāma (692)-dīmahi (694)-nuyāmahe (716)-vema (717)-īma (762)-yāma (768)-ryāma (770)-vemahi (779)-mahi -nuyāmaḥ (780)-dema -ṇīma -tema (782)-yīmahi (783)-nuvīmahi -āmaḥ (796)-uyāma (797)-dyāma -ryāmaḥ (798)-rvīmahi -nīmahi (809)-ṇīmasi -remahi (810)-emaḥ -dyāmaḥ -temahi ;1.16;
2-е лицо;(122)-yāḥ (243)-eḥ (271)-āḥ (289)-Cheḥ (290)-ṇīthāḥ (333)-yethāḥ (497)-ethāḥ -ṇuyāḥ (504)-tethāḥ (510)-vethāḥ (526)-dyāḥ (550)-yeḥ (553)-teḥ (587)-ryāḥ (598)-veḥ (612)-reḥ (622)-īthāḥ (629)-rethāḥ (645)-Chethāḥ (660)-thāḥ (665)-nuyāḥ (677)-rvīthāḥ (678)-iyāḥ (680)-njīthāḥ -beḥ (681)-yīthāḥ (682)-ncethāḥ -nīyāḥ (683)-dethāḥ (684)-īyāḥ (687)-vīthāḥ -ṣethāḥ (688)-athāḥ (690)-uyāḥ -nuthāḥ -nceḥ -peḥ -mīyāḥ -mīthāḥ ;1.00;-etam -yetam -ryātam -njīthām -eyātam (1)-ātam -retam -yātam ;0.01;(17)-eta -deta (21)-yeta (22)-iyeta (27)-īdhvam (29)-ṇīdhvam -nīdhvam -Chetha (30)-ta -ṇīyāta -nceta -yedhvam -ātana (32)-āta -mīdhvam -retana -dhvam ;0.07;
3-е лицо;(32411)-et (38951)-vet (45275)-āt (45282)-lpeta (48575)-yāt (50438)-dyāt (52177)-yet (53660)-ret (56821)-ryāt (57708)-nuyāt (58138)-īyāt (58204)-ta (60107)-eta (60189)-iyāt (60396)-teta (60990)-yeta (62037)-Chet (62482)-uyāt (62629)-ncet (62683)-vīta (62977)-nīyāt (63365)-īta (63369)-ryeta (63406)-net (63913)-njīta (65111)-bet (65129)-ṭhet (65149)-ṇīyāt (65172)-ṣet (65749)-rvīta (65897)-Cheta (65952)-det (66044)-pet (66218)-yīta (66332)-dīta (66381)-ṛyāt (66412)-ṇuyāt (66428)-veta (66433)-peta (66533)-njyāt -amet (66561)-deta (66592)-reta (66618)-ṇīta (66619)-jyāt -yād (66623)-nceta (66638)-njīyāt (66639)-rīyāt (66651)-ncyāt -lpet (66665)-tet (66673)-ryet (66679)-nīta -cet (66681)-ayet -mīta (66682)-iret (66683)-ettarām (66687)-nuvīta (66691)-nvīta (66694)-iyet (66696)-ed -yyāt -aret (66698)-njet -jet -āmkriyāt (66707)-īyat (66709)-ṣeta (66710)-mīyāt -eyāt -ncīta (66711)-ṇvīta (66712)-iyeta ;91.72;(86)-ātām (90)-njīyātām (105)-vetām (115)-Chetām (176)-etām (178)-teyātām (195)-eyātām (196)-dyātām (202)-ryātām (207)-nīyātām (233)-yātām (249)-yetām (251)-yeyātām -tām (252)-īyātām -retām (253)-yīyātām -ṭhetām -ṇvīyātām -yuyātām -vītām -veyātām ;0.38;(861)-uḥ (936)-nuyuḥ (978)-reyuḥ (996)-īyuḥ (1095)-veyuḥ (1266)-eran (1283)-īran (1730)-eyuḥ (1742)-njīran (2078)-yuḥ (2288)-ryuḥ (2293)-nīyuḥ (2298)-yīran (2389)-yeyuḥ (2467)-dyuḥ (2515)-yeran (2516)-deran (2541)-teran (2544)-peyuḥ (2548)-rvīran (2594)-Cheyuḥ (2598)-dīran -teyuḥ -iyeyuḥ -ryeyuḥ (2605)-iyuḥ (2609)-uyuḥ (2615)-veran (2618)-deyuḥ -ṭheran (2620)-ṇīyuḥ -ireyuḥ (2629)-beyuḥ (2632)-ṇīran (2635)-ṇuyuḥ -dyeyuḥ (2637)-nceyuḥ -ṭheyuḥ (2646)-vīran (2651)-ran -lperan -nceran -njyuḥ (2652)-nīran -rerata (2653)-erata -īyan -Cheran -iyeran ;3.71;
