lemma_slp1,lemma_iast,shared_ref,sigil,source_dict,inheritor,dcs_text,dcs_text_id,dcs_locus,status,lemma_present,reason,note
ABarita,ābharita,HARIV. 855,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
Buvas,bhuvas,HARIV. 11506,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 11506 exceeds DCS total verses 6073 (vulgate vs critical edition),
CAgala,chāgala,HARIV. 3275,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
CAndasa,chāndasa,HARIV. 12284,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 12284 exceeds DCS total verses 6073 (vulgate vs critical edition),
Cedin,chedin,HARIV. 15880,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 15880 exceeds DCS total verses 6073 (vulgate vs critical edition),
DArin,dhārin,HARIV. 11986,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 11986 exceeds DCS total verses 6073 (vulgate vs critical edition),
DArzRaka,dhārṣṇaka,HARIV. 642,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
Dana,dhana,HARIV. 3886,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
DaraRIBft,dharaṇībhṛt,HARIV. 13616,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 13616 exceeds DCS total verses 6073 (vulgate vs critical edition),
DaraRIDft,dharaṇīdhṛt,HARIV. 6766,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 6766 exceeds DCS total verses 6073 (vulgate vs critical edition),
Dvaja,dhvaja,HARIV. 9245,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 9245 exceeds DCS total verses 6073 (vulgate vs critical edition),
GAwa,ghāṭa,HARIV. 16117,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 16117 exceeds DCS total verses 6073 (vulgate vs critical edition),
GaRwAkarRa,ghaṇṭākarṇa,HARIV. 14630,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 14630 exceeds DCS total verses 6073 (vulgate vs critical edition),
GanIBUta,ghanībhūta,HARIV. 3484,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
GarmAnta,gharmānta,HARIV. 10130,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 10130 exceeds DCS total verses 6073 (vulgate vs critical edition),
Gaww,ghaṭṭ,HARIV. 6473,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 6473 exceeds DCS total verses 6073 (vulgate vs critical edition),
GftaDArA,ghṛtadhārā,HARIV. 12411,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 12411 exceeds DCS total verses 6073 (vulgate vs critical edition),
GrA,ghrā,HARIV. 7059,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 7059 exceeds DCS total verses 6073 (vulgate vs critical edition),
GrARatarpaRa,ghrāṇatarpaṇa,HARIV. 3710,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
Jilli,jhilli,HARIV. 3497,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
KawvANga,khaṭvāṅga,HARIV. 808,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
KawvANgavana,khaṭvāṅgavana,HARIV. 4171,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
aSruta,aśruta,HARIV. 6190,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 6190 exceeds DCS total verses 6073 (vulgate vs critical edition),
aSvaSakft,aśvaśakṛt,HARIV. 6445,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 6445 exceeds DCS total verses 6073 (vulgate vs critical edition),
ahInagu,ahīnagu,HARIV. 825,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
amfta,amṛta,HARIV. 14095,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 14095 exceeds DCS total verses 6073 (vulgate vs critical edition),
aridAnta,aridānta,HARIV. 6628,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 6628 exceeds DCS total verses 6073 (vulgate vs critical edition),
avaDAraRIya,avadhāraṇīya,HARIV. 6252,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 6252 exceeds DCS total verses 6073 (vulgate vs critical edition),
avanAmin,avanāmin,HARIV. 4947,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
avantipura,avantipura,HARIV. 4906,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
azwAraTa,aṣṭāratha,HARIV. 1744,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
bisa,bisa,HARIV. 15445,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 15445 exceeds DCS total verses 6073 (vulgate vs critical edition),
cAkrika,cākrika,HARIV. 9047,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 9047 exceeds DCS total verses 6073 (vulgate vs critical edition),
cAkzuza,cākṣuṣa,HARIV. 279,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
cAritra,cāritra,HARIV. 10204,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 10204 exceeds DCS total verses 6073 (vulgate vs critical edition),
cAturakza,cāturakṣa,HARIV. 6746,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 6746 exceeds DCS total verses 6073 (vulgate vs critical edition),
cAturvidya,cāturvidya,HARIV. 9769,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 9769 exceeds DCS total verses 6073 (vulgate vs critical edition),
cakra,cakra,HARIV. 652,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
cakraDara,cakradhara,HARIV. 10999,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 10999 exceeds DCS total verses 6073 (vulgate vs critical edition),
cakracArin,cakracārin,HARIV. 3494,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
cal,cal,HARIV. 2697,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
car,car,HARIV. 3602,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
caraRa,caraṇa,HARIV. 3914,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,"edition-mismatch: multi-chapter DCS text uses per-chapter (ch,verse); no concordance from Petersburg continuous no.",
caturTAMSa,caturthāṃśa,HARIV. 9690,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 9690 exceeds DCS total verses 6073 (vulgate vs critical edition),
caturaSra,caturaśra,HARIV. 12378,HARIV,PWG,MW,Harivaṃśa,566,,UNRESOLVED,,edition-mismatch: Petersburg continuous no. 12378 exceeds DCS total verses 6073 (vulgate vs critical edition),
