Textname;Author
Rasādhyāyaṭīkā; 
Rasahṛdayatantra;Govindbhagavatpāda
Rasakāmadhenu;Śrīcūḍāmaṇimiśra
Śāṅkhāyanagṛhyasūtra; 
Śāṅkhāyanāraṇyaka; 
Śāktavijñāna;Somānanda
Śārṅgadharasaṃhitā;Śārṅgadhara
Śārṅgadharasaṃhitādīpikā;Āḍhamalla
Śatakatraya;Bhartṛhari
Śatapathabrāhmaṇa; 
Śikṣāsamuccaya;Śāntideva
;
Śivapurāṇa; 
Śivasūtra; 
Śivasūtravārtika;Varadarāja
Śukasaptati; 
Śvetāśvataropaniṣad; 
Śyainikaśāstra;Rudradeva
2. fiktiver Komm. zum Hitopadeśa; 
A concise history of science in India;D.M. Bose  S.N. Sen  B.V. Subbarayappa
A history of Indian medical literature  I A;G.J. Meulenbeld
A history of Indian medical literature  II B;G.J. Meulenbeld
A Sanskrit Dictionary of Law and Statescraft;Olivelle  Patrick
A survey of Hinduism;Klaus K. Klostermaier
A Vedic Grammar for Students;Macdonell  A.A.
Āśvālāyanaśrautasūtra; 
Āśvalāyanagṛhyasūtra; 
Aṣṭāṅgahṛdayasaṃhitā;Vāgbhaṭa
Aṣṭāṅganighaṇṭu;Vāhaṭa
Aṣṭāṅgasaṃgraha; 
Aṣṭādhyāyī;Pāṇini
Aṣṭādhyāyī of Pāṇini; 
Aṣṭasāhasrikā; 
Aṣṭāvakragīta; 
Abhidhānacintāmaṇi;Hemacandra
Abhidharmakośa;Vasubandhu
Abhidharmakośabhāṣya;Vasubandhu
Abhinavacintāmaṇi;Cakrapāṇidāsa
Acintyastava;Nāgārjuna
Agastīyaratnaparīkṣā; 
Agnipurāṇa; 
Aitareyabrāhmaṇa; 
Aitareyopaniṣad; 
Alchemy and sacred geography in medieval Deccan.;Rosu  Arion
Allgemeine Geschichte der Philosophie;Deussen  Paul
Amarakośa;Amara
Amaraughaśāsana;Gorakṣanātha
Amaruśataka;Amaru
AMTest; 
Amṛtabindūpaniṣat; 
An English translation of the Suśrutasaṃhitā; 
An English Translation of the Sushruta Samhita  vol. I; 
An illustrated Ardhamagadhi dictionary;Ratnachandraji Maharaj
An Index to the Names in the Mahābhārata;S. S￶rensen
An introduction to Buddhism.;Peter Harvey
Ānandakanda; 
Anga Suttani; 
Antagaḍadasāo; 
Āpastambaśrautasūtra; 
Āpastambagṛhyasūtra; 
Arthaśāstra;Kauṭilya
Āryāsaptaśatī;Govardhana
Atharvaprāyaścittāni; 
Atharvaveda Śaunaka); 
Atharva-Veda Saṃhitā;William Dwight Whitney
Atharvaveda-Paippalāda  Kāṇḍa Five;Lubotsky  Alexander
Atharvavedapariśiṣṭa; 
Avadānaśataka; 
Āyaraṅga; 
Āyāracūlā; 
Āyurvedadīpikā;Cakrapāṇidatta
Ayurvedarasāyana;Hemādri
Balarāma im Mahābhārata;Bigger  Andreas
Baudhāyanaśrautasūtra; 
Baudhāyanadharmasūtra; 
Baudhāyanagṛhyasūtra; 
Bhadrabāhucarita; 
Bhāgavatapurāṇa; 
Bhairavastava;Abhinavagupta
Bhallaṭaśataka;Bhallaṭa
Bhāradvājagṛhyasūtra; 
Bhāratamañjarī;Kṣemendra
Bhāvaprakāśa;Bhāvamiśra
Bhramarāṣṭaka; 
Bījanighaṇṭu; 
